ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result
1,1983,1983-10-09,6,22.023,ATL,,NOR,L 17-19
2,1983,1983-10-16,7,22.030,ATL,@,RAM,L 21-27
3,1983,1983-10-23,8,22.037,ATL,@,NYJ,W 27-21
4,1983,1983-10-30,9,22.044,ATL,,NWE,W 24-13
5,1983,1983-11-06,10,22.051,ATL,@,NOR,L 10-27
6,1983,1983-11-14,11,22.059,ATL,,RAM,L 13-36
7,1983,1983-11-20,12,22.065,ATL,,SFO,W 28-24
8,1983,1983-11-27,13,22.072,ATL,,GNB,W 47-41
9,1983,1983-12-04,14,22.079,ATL,@,WAS,L 21-37
10,1983,1983-12-10,15,22.085,ATL,@,MIA,L 24-31
11,1983,1983-12-18,16,22.093,ATL,,BUF,W 31-14
12,1984,1984-10-28,9,23.042,ATL,@,PIT,L 10-35
13,1984,1984-11-05,10,23.050,ATL,@,WAS,L 14-27
14,1984,1984-11-11,11,23.056,ATL,,NOR,L 13-17
15,1984,1984-11-18,12,23.063,ATL,,CLE,L 7-23
16,1984,1984-11-25,13,23.070,ATL,@,CIN,L 14-35
