ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1978,1978-09-03,1,22.196,STL,@,CHI,L 10-17,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,6,217,36.17,0
2,1978,1978-09-10,2,22.203,STL,,NWE,L 6-16,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,7,270,38.57,0
3,1978,1978-09-17,3,22.210,STL,,WAS,L 10-28,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,9,367,40.78,0
4,1978,1978-09-24,4,22.217,STL,@,DAL,L 12-21,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,6,225,37.50,0
5,1978,1978-10-01,5,22.224,STL,@,MIA,L 10-24,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,3,110,36.67,0
6,1978,1978-10-08,6,22.231,STL,,BAL,L 17-30,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,6,197,32.83,1
7,1978,1978-10-15,7,22.238,STL,,DAL,L 21-24,1,0,0.00,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,7,272,38.86,0
8,1978,1978-10-22,8,22.245,STL,@,NYJ,L 10-23,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,2,91,45.50,0
9,1978,1978-11-26,13,22.280,STL,,PHI,L 10-14,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1978,1978-12-10,15,22.294,STL,@,NYG,L 0-17,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1978,1978-12-17,16,22.301,STL,,ATL,W 42-21,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1979,1979-09-02,1,23.195,STL,,DAL,L 21-22,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,6,229,38.17,0
13,1979,1979-09-09,2,23.202,STL,@,NYG,W 27-14,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,4,156,39.00,0
14,1979,1979-09-16,3,23.209,STL,,PIT,L 21-24,0,0,,0,0,0,,0,0,0,,0,0,,,,2,0.0,1,1,100.0,0,3,7,304,43.43,0
15,1979,1979-09-23,4,23.216,STL,,WAS,L 7-17,0,0,,0,0,0,,0,0,0,,0,0,,,1,1,100.0,,,,0,1,6,219,36.50,0
16,1979,1979-09-30,5,23.223,STL,@,RAM,L 0-21,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,1,0.0,0,0,8,314,39.25,0
17,1979,1979-10-07,6,23.230,STL,@,HOU,W 24-17,0,0,,0,1,1,100.00,16,0,0,118.7,0,0,16.00,16.00,3,3,100.0,1,1,100.0,0,6,2,73,36.50,0
18,1979,1979-10-14,7,23.237,STL,,PHI,L 20-24,0,0,,0,0,0,,0,0,0,,0,0,,,2,2,100.0,2,3,66.7,0,8,3,135,45.00,0
19,1979,1979-10-21,8,23.244,STL,@,DAL,L 13-22,1,0,0.00,0,0,0,,0,0,0,,0,0,,,1,1,100.0,2,4,50.0,0,7,5,249,49.80,0
20,1979,1979-10-28,9,23.251,STL,,CLE,L 20-38,0,0,,0,0,0,,0,0,0,,0,0,,,1,2,50.0,,1,0.0,0,1,4,154,38.50,0
21,1979,1979-11-04,10,23.258,STL,,MIN,W 37-7,0,0,,0,0,0,,0,0,0,,0,0,,,4,5,80.0,1,1,100.0,0,7,2,95,47.50,0
22,1979,1979-11-11,11,23.265,STL,@,WAS,L 28-30,0,0,,0,1,1,100.00,15,0,0,118.7,0,0,15.00,15.00,4,4,100.0,,1,0.0,0,4,5,192,38.40,0
23,1979,1979-11-18,12,23.272,STL,@,PHI,L 13-16,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,1,2,50.0,,,,0,1,8,275,34.38,0
24,1979,1979-11-25,13,23.279,STL,@,CIN,L 28-34,1,0,0.00,0,0,0,,0,0,0,,0,0,,,4,4,100.0,,,,0,4,2,72,36.00,0
25,1979,1979-12-02,14,23.286,STL,,SFO,W 13-10,0,0,,0,0,0,,0,0,0,,0,0,,,1,2,50.0,,1,0.0,0,1,6,221,36.83,0
26,1979,1979-12-09,15,23.293,STL,,NYG,W 29-20,0,0,,0,0,0,,0,0,0,,0,0,,,2,3,66.7,3,5,60.0,0,11,3,129,43.00,1
27,1979,1979-12-16,16,23.300,STL,@,CHI,L 6-42,0,0,,0,0,0,,0,0,0,,0,0,,,,1,0.0,,,,0,0,8,243,30.38,1
28,1980,1980-09-07,1,24.201,STL,,NYG,L 35-41,0,0,,0,0,0,,0,0,,,,,,,5,5,100.0,,,,0,5,,,,
29,1980,1980-09-14,2,24.208,STL,@,SFO,L 21-24,0,0,,0,0,0,,0,0,0,,0,0,,,3,3,100.0,,1,0.0,0,3,0,0,,0
30,1980,1980-09-21,3,24.215,STL,@,DET,L 7-20,0,0,,0,0,0,,0,0,0,,0,0,,,1,1,100.0,,1,0.0,0,1,0,0,,0
