ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,def_int,def_int_yds,def_int_td
1,1981,1981-09-06,1,23.304,MIA,@,STL,W 20-7,,,
2,1981,1981-09-10,2,23.308,MIA,,PIT,W 30-10,,,
3,1981,1981-09-20,3,23.318,MIA,@,HOU,W 16-10,,,
4,1981,1981-09-27,4,23.325,MIA,@,BAL,W 31-28,,,
5,1981,1981-10-04,5,23.332,MIA,,NYJ,T 28-28,,,
6,1981,1981-10-12,6,23.340,MIA,@,BUF,L 21-31,,,
7,1981,1981-10-18,7,23.346,MIA,,WAS,W 13-10,,,
8,1981,1981-10-25,8,23.353,MIA,@,DAL,L 27-28,,,
9,1981,1981-11-01,9,23.360,MIA,,BAL,W 27-10,,,
10,1981,1981-11-08,10,24.002,MIA,@,NWE,W 30-27,,,
11,1981,1981-11-15,11,24.009,MIA,,OAK,L 17-33,,,
12,1981,1981-11-22,12,24.016,MIA,@,NYJ,L 15-16,,,
13,1981,1981-11-30,13,24.024,MIA,,PHI,W 13-10,,,
14,1981,1981-12-06,14,24.030,MIA,,NWE,W 24-14,,,
15,1981,1981-12-13,15,24.037,MIA,@,KAN,W 17-7,,,
16,1981,1981-12-19,16,24.043,MIA,,BUF,W 16-6,,,
17,1982,1982-09-12,1,24.310,MIA,@,NYJ,W 45-28,,,
18,1982,1982-09-19,2,24.317,MIA,,BAL,W 24-20,,,
19,1982,1982-11-21,3,25.015,MIA,@,BUF,W 9-7,,,
20,1982,1982-11-29,4,25.023,MIA,@,TAM,L 17-23,,,
21,1982,1982-12-05,5,25.029,MIA,,MIN,W 22-14,,,
22,1982,1982-12-12,6,25.036,MIA,@,NWE,L 0-3,,,
23,1982,1982-12-18,7,25.042,MIA,,NYJ,W 20-19,,,
24,1982,1982-12-27,8,25.051,MIA,,BUF,W 27-10,,,
25,1982,1983-01-02,9,25.057,MIA,@,BAL,W 34-7,,,
26,1983,1983-09-04,1,25.302,KAN,,SEA,W 17-13,,,
27,1983,1983-09-12,2,25.310,KAN,,SDG,L 14-17,,,
28,1983,1983-09-18,3,25.316,KAN,@,WAS,L 12-27,,,
29,1983,1983-09-25,4,25.323,KAN,@,MIA,L 6-14,,,
30,1983,1983-10-02,5,25.330,KAN,,STL,W 38-14,1,0,0
31,1983,1983-10-09,6,25.337,KAN,@,RAI,L 20-21,,,
32,1983,1983-10-16,7,25.344,KAN,,NYG,W 38-17,,,
33,1983,1983-10-23,8,25.351,KAN,@,HOU,W 13-10,,,
34,1983,1983-10-30,9,25.358,KAN,@,DEN,L 24-27,,,
35,1983,1983-11-06,10,26.000,KAN,,RAI,L 20-28,,,
36,1983,1983-11-13,11,26.007,KAN,,CIN,W 20-15,,,
37,1983,1983-11-20,12,26.014,KAN,@,DAL,L 21-41,,,
38,1983,1983-11-27,13,26.021,KAN,@,SEA,L 48-51,,,
39,1983,1983-12-04,14,26.028,KAN,,BUF,L 9-14,,,
40,1983,1983-12-11,15,26.035,KAN,@,SDG,L 38-41,,,
41,1983,1983-12-18,16,26.042,KAN,,DEN,W 48-17,,,
42,1984,1984-09-17,3,26.316,BUF,,MIA,L 17-21,,,
43,1984,1984-09-23,4,26.322,BUF,,NYJ,L 26-28,,,
44,1984,1984-09-30,5,26.329,BUF,@,IND,L 17-31,,,
45,1984,1984-10-07,6,26.336,BUF,,PHI,L 17-27,,,
46,1984,1984-10-14,7,26.343,BUF,@,SEA,L 28-31,,,
47,1984,1984-10-21,8,26.350,BUF,,DEN,L 7-37,,,
48,1984,1984-10-28,9,26.357,BUF,@,MIA,L 7-38,,,
49,1984,1984-11-04,10,26.364,BUF,,CLE,L 10-13,,,
50,1984,1984-11-11,11,27.005,BUF,@,NWE,L 10-38,,,
51,1984,1984-12-02,14,27.026,BUF,,IND,W 21-15,,,
