ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1985,1985-09-08,1,22.159,DEN,@,RAM,L 16-20,0,0,,0,1,8,8.00,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0
2,1985,1985-09-15,2,22.166,DEN,,NOR,W 34-23,0,0,,0,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,
3,1985,1985-09-22,3,22.173,DEN,@,ATL,W 44-28,0,0,,0,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,
4,1985,1985-09-29,4,22.180,DEN,,MIA,L 26-30,0,0,,0,1,13,13.00,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0
5,1985,1985-10-06,5,22.187,DEN,,HOU,W 31-20,0,0,,0,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,
6,1985,1985-10-13,6,22.194,DEN,@,IND,W 15-10,0,0,,0,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,
7,1985,1985-10-20,7,22.201,DEN,,SEA,W 13-10,4,3,0.75,0,3,13,4.33,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0
8,1985,1985-10-27,8,22.208,DEN,@,KAN,W 30-10,20,64,3.20,0,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0
9,1985,1985-11-03,9,22.215,DEN,@,SDG,L 10-30,2,9,4.50,0,2,63,31.50,1,0,0,,0,0,0,,0,,,,0,0,,0,1,6
10,1985,1985-11-11,10,22.223,DEN,,SFO,W 17-16,0,0,,0,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,
11,1985,1985-11-17,11,22.229,DEN,,SDG,W 30-24,2,8,4.00,0,3,23,7.67,0,0,0,,0,0,0,,0,,,,1,29,29.00,0,0,0
12,1985,1985-11-24,12,22.236,DEN,@,RAI,L 28-31,11,43,3.91,1,3,4,1.33,0,0,0,,0,0,0,,0,,,,0,0,,0,1,6
