ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring
1,2016,2016-09-11,1,21.263,TEN,,MIN,L 16-25,*,11,7,76,10.86,0,63.6%,6.91,0,0,,0,0,0
2,2016,2016-09-18,2,21.270,TEN,@,DET,W 16-15,*,7,4,33,8.25,0,57.1%,4.71,0,0,,0,0,0
3,2016,2016-09-25,3,21.277,TEN,,OAK,L 10-17,*,7,3,48,16.00,0,42.9%,6.86,0,0,,0,0,0
4,2016,2016-10-02,4,21.284,TEN,@,HOU,L 20-27,*,7,2,15,7.50,0,28.6%,2.14,0,0,,0,0,0
5,2016,2016-10-09,5,21.291,TEN,@,MIA,W 30-17,*,4,2,17,8.50,0,50.0%,4.25,0,0,,0,0,0
6,2016,2016-10-16,6,21.298,TEN,,CLE,W 28-26,,3,0,0,,0,0.0%,0.00,1,1,1.00,0,0,0
7,2016,2016-10-23,7,21.305,TEN,,IND,L 26-34,,6,4,59,14.75,0,66.7%,9.83,0,0,,0,0,0
8,2016,2016-10-27,8,21.309,TEN,,JAX,W 36-22,,1,1,11,11.00,0,100.0%,11.00,0,0,,0,0,0
9,2016,2016-11-06,9,21.319,TEN,@,SDG,L 35-43,,8,4,58,14.50,0,50.0%,7.25,0,0,,0,0,0
10,2016,2016-11-13,10,21.326,TEN,,GNB,W 47-25,*,4,3,68,22.67,1,75.0%,17.00,0,0,,0,1,6
11,2016,2016-11-20,11,21.333,TEN,@,IND,L 17-24,*,7,4,68,17.00,1,57.1%,9.71,0,0,,0,1,6
12,2016,2016-11-27,12,21.340,TEN,@,CHI,W 27-21,*,3,2,11,5.50,0,66.7%,3.67,0,0,,0,0,0
13,2016,2016-12-11,13,21.354,TEN,,DEN,W 13-10,*,1,0,0,,0,0.0%,0.00,0,0,,0,0,0
14,2016,2016-12-18,14,21.361,TEN,@,KAN,W 19-17,*,4,2,10,5.00,0,50.0%,2.50,0,0,,0,0,0
15,2016,2016-12-24,15,22.001,TEN,@,JAX,L 17-38,,8,3,48,16.00,0,37.5%,6.00,0,0,,0,0,0
16,2016,2017-01-01,16,22.009,TEN,,HOU,W 24-17,,2,0,0,,0,0.0%,0.00,0,0,,0,0,0
17,2018,2018-09-09,1,23.260,TEN,@,MIA,L 20-27,*,3,1,17,17.00,0,33.3%,5.67,0,0,,0,0,0
18,2018,2018-09-16,2,23.267,TEN,,HOU,W 20-17,*,2,1,14,14.00,0,50.0%,7.00,0,0,,0,0,0
19,2018,2018-09-23,3,23.274,TEN,@,JAX,W 9-6,*,1,0,0,,0,0.0%,0.00,1,16,16.00,0,0,0
