ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2012,2012-09-09,1,22.033,CLE,,PHI,L 16-17,,0,0,0.0,0,0,0,0,0
2,2012,2012-09-16,2,22.040,CLE,@,CIN,L 27-34,,0,0,0.0,0,0,0,0,0
3,2012,2012-09-23,3,22.047,CLE,,BUF,L 14-24,,0,0,0.0,3,1,0,0,0
4,2012,2012-09-27,4,22.051,CLE,@,BAL,L 16-23,,0,0,0.0,1,1,0,0,0
5,2012,2012-11-18,10,22.103,CLE,@,DAL,L 20-23,,0,0,0.0,1,1,0,0,0
6,2012,2012-11-25,11,22.110,CLE,,PIT,W 20-14,*,0,0,0.0,2,0,0,0,0
7,2012,2012-12-02,12,22.117,CLE,@,OAK,W 20-17,*,0,0,0.0,7,1,0,0,0
8,2012,2012-12-09,13,22.124,CLE,,KAN,W 30-7,,0,0,0.0,1,1,1,23,0
9,2012,2012-12-16,14,22.131,CLE,,WAS,L 21-38,,0,0,0.0,3,0,0,0,0
10,2012,2012-12-30,16,22.145,CLE,@,PIT,L 10-24,*,0,0,0.0,5,1,0,0,0
11,2013,2013-09-08,1,23.032,CLE,,MIA,L 10-23,*,0,0,0.0,3,0,1,29,0
12,2013,2013-09-15,2,23.039,CLE,@,BAL,L 6-14,*,0,0,0.0,4,4,0,0,0
13,2013,2013-09-22,3,23.046,CLE,@,MIN,W 31-27,*,0,0,0.0,3,1,0,0,0
14,2013,2013-09-29,4,23.053,CLE,,CIN,W 17-6,*,0,0,0.0,3,3,0,0,0
15,2013,2013-10-03,5,23.057,CLE,,BUF,W 37-24,*,0,0,0.0,4,1,0,0,0
16,2013,2013-10-13,6,23.067,CLE,,DET,L 17-31,*,0,0,0.0,4,3,1,35,0
17,2013,2013-10-20,7,23.074,CLE,@,GNB,L 13-31,*,0,0,0.0,7,2,0,0,0
18,2013,2013-10-27,8,23.081,CLE,@,KAN,L 17-23,*,0,0,0.0,9,0,0,0,0
19,2013,2013-11-03,9,23.088,CLE,,BAL,W 24-18,,0,0,0.0,0,0,0,0,0
20,2013,2013-11-17,10,23.102,CLE,@,CIN,L 20-41,*,0,0,0.0,4,1,0,0,0
21,2013,2013-11-24,11,23.109,CLE,,PIT,L 11-27,*,0,0,0.0,2,5,0,0,0
22,2013,2013-12-01,12,23.116,CLE,,JAX,L 28-32,*,0,0,0.0,4,1,0,0,0
23,2013,2013-12-08,13,23.123,CLE,@,NWE,L 26-27,*,0,0,0.0,2,3,0,0,0
24,2013,2013-12-15,14,23.130,CLE,,CHI,L 31-38,*,0,6,0.0,5,3,2,79,1
25,2013,2013-12-22,15,23.137,CLE,@,NYJ,L 13-24,*,0,0,0.0,6,1,0,0,0
26,2013,2013-12-29,16,23.144,CLE,@,PIT,L 7-20,*,0,0,0.0,3,3,1,0,0
27,2014,2014-09-07,1,24.031,CLE,@,PIT,L 27-30,*,0,0,0.0,2,0,0,0,0
28,2014,2014-09-14,2,24.038,CLE,,NOR,W 26-24,*,0,6,0.0,3,5,1,62,1
29,2014,2014-09-21,3,24.045,CLE,,BAL,L 21-23,*,0,0,0.0,3,2,1,17,0
30,2014,2014-10-05,4,24.059,CLE,@,TEN,W 29-28,*,0,0,0.0,3,1,0,0,0
31,2014,2014-10-12,5,24.066,CLE,,PIT,W 31-10,*,0,0,0.0,4,5,0,0,0
32,2014,2014-10-19,6,24.073,CLE,@,JAX,L 6-24,*,0,0,0.0,3,1,2,32,0
33,2014,2014-10-26,7,24.080,CLE,,OAK,W 23-13,*,0,0,0.0,2,0,1,35,0
34,2014,2014-11-02,8,24.087,CLE,,TAM,W 22-17,*,0,0,0.0,3,2,1,12,0
35,2014,2014-11-06,9,24.091,CLE,@,CIN,W 24-3,*,0,0,0.0,1,2,0,0,0
36,2014,2014-11-16,10,24.101,CLE,,HOU,L 7-23,*,0,0,0.0,2,5,0,0,0
37,2014,2014-11-23,11,24.108,CLE,@,ATL,W 26-24,*,0,0,0.0,2,1,0,0,0
38,2015,2015-09-13,1,25.037,CLE,@,NYJ,L 10-31,*,0,0,0.0,2,3,1,0,0
39,2015,2015-09-20,2,25.044,CLE,,TEN,W 28-14,*,0,0,0.0,5,3,0,0,0
40,2015,2015-09-27,3,25.051,CLE,,OAK,L 20-27,*,0,0,0.0,3,3,0,0,0
41,2015,2015-10-04,4,25.058,CLE,@,SDG,L 27-30,*,0,0,0.0,3,1,0,0,0
42,2015,2015-11-01,8,25.086,CLE,,ARI,L 20-34,*,0,0,0.0,1,0,1,0,0
43,2015,2015-11-05,9,25.090,CLE,@,CIN,L 10-31,*,0,0,0.0,3,1,0,0,0
44,2015,2015-11-15,10,25.100,CLE,@,PIT,L 9-30,*,0,0,0.0,3,1,0,0,0
45,2015,2015-11-30,11,25.115,CLE,,BAL,L 27-33,*,0,0,0.0,6,0,0,0,0
