ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2016,2016-09-11,1,22.181,BAL,,BUF,W 13-7,,0.0,1,0,0,0,0
2,2016,2016-09-18,2,22.188,BAL,@,CLE,W 25-20,,0.0,2,0,0,0,0
3,2016,2016-09-25,3,22.195,BAL,@,JAX,W 19-17,,0.0,0,0,1,6,0
4,2016,2016-10-02,4,22.202,BAL,,OAK,L 27-28,,0.0,2,0,0,0,0
5,2016,2016-10-09,5,22.209,BAL,,WAS,L 10-16,,0.0,3,0,0,0,0
6,2016,2016-10-16,6,22.216,BAL,@,NYG,L 23-27,*,0.0,3,0,1,16,0
7,2016,2016-10-23,7,22.223,BAL,@,NYJ,L 16-24,*,0.0,4,2,0,0,0
8,2016,2016-11-06,8,22.237,BAL,,PIT,W 21-14,*,0.0,4,1,0,0,0
9,2016,2016-11-10,9,22.241,BAL,,CLE,W 28-7,*,0.0,3,1,0,0,0
10,2016,2016-11-20,10,22.251,BAL,@,DAL,L 17-27,*,0.0,2,1,0,0,0
11,2016,2016-11-27,11,22.258,BAL,,CIN,W 19-14,*,0.0,4,0,0,0,0
12,2016,2016-12-04,12,22.265,BAL,,MIA,W 38-6,*,0.0,2,1,0,0,0
13,2016,2016-12-12,13,22.273,BAL,@,NWE,L 23-30,*,0.0,3,1,0,0,0
14,2016,2016-12-18,14,22.279,BAL,,PHI,W 27-26,*,0.0,3,0,0,0,0
15,2016,2016-12-25,15,22.286,BAL,@,PIT,L 27-31,*,0.0,3,0,0,0,0
16,2016,2017-01-01,16,22.293,BAL,@,CIN,L 10-27,*,0.0,2,2,0,0,0
17,2018,2018-09-09,1,24.179,BAL,,BUF,W 47-3,*,2.0,3,0,0,0,0
18,2018,2018-09-13,2,24.183,BAL,@,CIN,L 23-34,,0.0,4,0,0,0,0
19,2018,2018-09-23,3,24.193,BAL,,DEN,W 27-14,,0.0,2,1,0,0,0
