ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,sacks,tackles_solo,tackles_assists
1,2015,2015-09-14,1,24.204,PHI,@,ATL,L 24-26,,0.0,2,0
2,2015,2015-09-20,2,24.210,PHI,,DAL,L 10-20,,0.0,0,1
3,2015,2015-10-11,5,24.231,PHI,,NOR,W 39-17,,0.0,0,1
4,2015,2015-10-19,6,24.239,PHI,,NYG,W 27-7,,0.0,0,1
5,2015,2015-10-25,7,24.245,PHI,@,CAR,L 16-27,,0.0,0,6
6,2015,2015-11-08,8,24.259,PHI,@,DAL,W 33-27,,0.0,0,0
7,2015,2015-11-15,9,24.266,PHI,,MIA,L 19-20,,0.0,1,0
8,2015,2015-11-22,10,24.273,PHI,,TAM,L 17-45,,0.0,2,1
9,2015,2015-11-26,11,24.277,PHI,@,DET,L 14-45,,0.0,1,0
10,2015,2015-12-06,12,24.287,PHI,@,NWE,W 35-28,*,0.0,0,4
11,2015,2015-12-13,13,24.294,PHI,,BUF,W 23-20,,0.0,0,0
12,2015,2015-12-20,14,24.301,PHI,,ARI,L 17-40,,0.0,4,0
13,2015,2015-12-26,15,24.307,PHI,,WAS,L 24-38,,0.0,0,1
14,2015,2016-01-03,16,24.315,PHI,@,NYG,W 35-30,,0.0,2,0
15,2016,2016-10-06,5,25.227,SFO,,ARI,L 21-33,,0.0,1,1
