ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1979,1979-09-02,1,22.199,MIN,,SFO,W 28-22,3,21,7.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
2,1979,1979-09-09,2,22.206,MIN,@,CHI,L 7-26,3,24,8.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,52,26.00,0,0,0
3,1979,1979-09-16,3,22.213,MIN,,MIA,L 12-27,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,3,49,16.33,0,0,0
4,1979,1979-09-23,4,22.220,MIN,,GNB,W 27-21,15,77,5.13,0,1,-2,-2.00,0,0,0,,0,0,0,,0,0,,,3,85,28.33,0,0,0
5,1979,1979-09-30,5,22.227,MIN,@,DET,W 13-10,14,61,4.36,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
6,1979,1979-10-21,8,22.248,MIN,,CHI,W 30-27,8,14,1.75,0,2,15,7.50,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
7,1979,1979-10-28,9,22.255,MIN,,TAM,L 10-12,20,85,4.25,0,6,35,5.83,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
8,1979,1979-11-04,10,22.262,MIN,@,STL,L 7-37,16,52,3.25,0,3,11,3.67,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
9,1979,1979-11-11,11,22.269,MIN,@,GNB,L 7-19,8,57,7.13,0,5,34,6.80,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
10,1979,1979-11-18,12,22.276,MIN,,DET,W 14-7,6,32,5.33,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
11,1979,1979-11-25,13,22.283,MIN,@,TAM,W 23-22,12,52,4.33,0,4,13,3.25,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
12,1979,1979-12-02,14,22.290,MIN,@,RAM,L 21-27,18,52,2.89,0,5,56,11.20,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
13,1979,1979-12-09,15,22.297,MIN,,BUF,W 10-3,1,4,4.00,0,1,0,0.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
14,1979,1979-12-16,16,22.304,MIN,@,NWE,L 23-27,6,20,3.33,1,4,35,8.75,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
15,1980,1980-09-07,1,23.205,MIN,,ATL,W 24-23,10,36,3.60,0,5,56,11.20,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
16,1980,1980-09-14,2,23.212,MIN,,PHI,L 7-42,10,28,2.80,0,7,36,5.14,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
17,1980,1980-09-21,3,23.219,MIN,@,CHI,W 34-14,22,113,5.14,2,2,13,6.50,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,12
18,1980,1980-09-28,4,23.226,MIN,@,DET,L 7-27,6,26,4.33,0,2,12,6.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
19,1980,1980-10-05,5,23.233,MIN,,PIT,L 17-23,15,46,3.07,0,1,16,16.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
20,1980,1980-10-12,6,23.240,MIN,,CHI,W 13-7,15,62,4.13,1,4,25,6.25,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
21,1980,1980-10-19,7,23.247,MIN,@,CIN,L 0-14,11,28,2.55,0,4,34,8.50,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
22,1980,1980-10-26,8,23.254,MIN,@,GNB,L 3-16,15,36,2.40,0,3,36,12.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
23,1980,1980-11-02,9,23.261,MIN,@,WAS,W 39-14,20,67,3.35,0,4,71,17.75,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
24,1980,1980-11-09,10,23.268,MIN,,DET,W 34-0,15,50,3.33,0,9,140,15.56,1,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
25,1980,1980-11-16,11,23.275,MIN,,TAM,W 38-30,15,73,4.87,2,3,31,10.33,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,12
26,1980,1980-11-23,12,23.282,MIN,,GNB,L 13-25,12,47,3.92,1,1,5,5.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
27,1980,1980-11-30,13,23.289,MIN,@,NOR,W 23-20,21,95,4.52,1,3,33,11.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
28,1980,1980-12-07,14,23.296,MIN,@,TAM,W 21-10,12,90,7.50,1,6,47,7.83,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
29,1980,1980-12-14,15,23.303,MIN,,CLE,W 28-23,10,49,4.90,0,7,58,8.29,1,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
30,1980,1980-12-21,16,23.310,MIN,@,HOU,L 16-20,10,66,6.60,0,1,10,10.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
31,1981,1981-09-05,1,24.202,MIN,@,TAM,L 13-21,20,79,3.95,0,12,77,6.42,0,0,1,0.00,0,0,1,0.0,0,0,0.00,-45.00,0,0,,0,0,0
32,1981,1981-09-14,2,24.211,MIN,,OAK,L 10-36,10,11,1.10,0,1,9,9.00,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0
33,1981,1981-09-20,3,24.217,MIN,,DET,W 26-24,18,77,4.28,1,9,115,12.78,1,0,0,,0,0,0,,0,,,,0,0,,0,2,12
34,1981,1981-09-27,4,24.224,MIN,@,GNB,W 30-13,21,109,5.19,0,2,23,11.50,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0
35,1981,1981-10-04,5,24.231,MIN,,CHI,W 24-21,24,97,4.04,1,4,29,7.25,0,0,0,,0,0,0,,0,,,,0,0,,0,1,6
36,1981,1981-10-11,6,24.238,MIN,@,SDG,W 33-31,21,68,3.24,0,5,109,21.80,1,0,0,,0,0,0,,0,,,,0,0,,0,1,6
37,1981,1981-10-18,7,24.245,MIN,,PHI,W 35-23,22,92,4.18,1,10,82,8.20,0,0,0,,0,0,0,,0,,,,0,0,,0,1,6
38,1981,1981-10-25,8,24.252,MIN,@,STL,L 17-30,13,55,4.23,0,5,41,8.20,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0
39,1981,1981-11-02,9,24.260,MIN,@,DEN,L 17-19,14,47,3.36,0,4,20,5.00,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0
40,1981,1981-11-08,10,24.266,MIN,,TAM,W 25-10,31,129,4.16,1,8,48,6.00,0,0,0,,0,0,0,,0,,,,0,0,,0,1,6
41,1981,1981-11-15,11,24.273,MIN,,NOR,W 20-10,16,54,3.38,1,5,53,10.60,0,0,0,,0,0,0,,0,,,,0,0,,0,1,6
42,1981,1981-11-23,12,24.281,MIN,@,ATL,L 30-31,16,108,6.75,0,5,35,7.00,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0
43,1981,1981-11-29,13,24.287,MIN,,GNB,L 23-35,11,28,2.55,1,7,42,6.00,0,0,0,,0,0,0,,0,,,,0,0,,0,1,6
44,1981,1981-12-06,14,24.294,MIN,@,CHI,L 9-10,16,38,2.38,0,2,-2,-1.00,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0
45,1981,1981-12-12,15,24.300,MIN,@,DET,L 7-45,15,55,3.67,0,3,-3,-1.00,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0
46,1981,1981-12-20,16,24.308,MIN,,KAN,L 6-10,6,16,2.67,0,1,16,16.00,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0
47,1982,1982-09-12,1,25.209,MIN,,TAM,W 17-10,12,56,4.67,0,4,16,4.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
48,1982,1982-09-16,2,25.213,MIN,@,BUF,L 22-23,12,93,7.75,0,1,-8,-8.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
49,1982,1982-11-21,3,25.279,MIN,@,GNB,L 7-26,7,22,3.14,0,3,7,2.33,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
50,1982,1982-11-28,4,25.286,MIN,,CHI,W 35-7,5,43,8.60,0,4,24,6.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
51,1982,1982-12-12,6,25.300,MIN,,BAL,W 13-10,20,75,3.75,0,5,37,7.40,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
52,1982,1982-12-19,7,25.307,MIN,@,DET,W 34-31,20,69,3.45,0,1,18,18.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
53,1982,1982-12-26,8,25.314,MIN,,NYJ,L 14-42,15,57,3.80,0,9,63,7.00,1,0,0,,0,0,0,,,,,,0,0,,0,1,6
54,1982,1983-01-03,9,25.322,MIN,,DAL,W 31-27,29,100,3.45,1,4,50,12.50,1,0,0,,0,0,0,,,,,,0,0,,0,2,12
55,1983,1983-09-04,1,26.201,MIN,@,CLE,W 27-21,19,74,3.89,2,6,63,10.50,1,0,0,,0,0,0,,,,,,0,0,,0,3,18
56,1983,1983-09-08,2,26.205,MIN,,SFO,L 17-48,10,33,3.30,1,5,38,7.60,0,0,0,,0,0,0,,,,,,0,0,,0,1,6
57,1983,1983-09-18,3,26.215,MIN,@,TAM,W 19-16,21,61,2.90,0,7,58,8.29,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
58,1983,1983-09-25,4,26.222,MIN,,DET,W 20-17,11,22,2.00,0,6,37,6.17,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
59,1983,1983-10-02,5,26.229,MIN,,DAL,L 24-37,9,29,3.22,1,3,26,8.67,0,0,0,,0,0,0,,,,,,0,0,,0,1,6
60,1983,1983-10-16,7,26.243,MIN,,HOU,W 34-14,4,20,5.00,2,2,11,5.50,0,0,0,,0,0,0,,,,,,0,0,,0,2,12
61,1983,1983-10-23,8,26.250,MIN,@,GNB,W 20-17,29,179,6.17,1,2,19,9.50,0,0,0,,0,0,0,,,,,,0,0,,0,1,6
62,1983,1983-10-30,9,26.257,MIN,@,STL,L 31-41,9,45,5.00,1,9,84,9.33,0,0,0,,0,0,0,,,,,,0,0,,0,1,6
63,1983,1983-11-06,10,26.264,MIN,,TAM,L 12-17,3,2,0.67,1,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,6
64,1983,1983-12-11,15,26.299,MIN,,CHI,L 13-19,5,11,2.20,1,1,21,21.00,0,0,0,,0,0,0,,,,,,0,0,,0,1,6
65,1984,1984-09-02,1,27.200,MIN,,SDG,L 13-42,12,53,4.42,0,3,10,3.33,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
66,1984,1984-09-09,2,27.207,MIN,@,PHI,L 17-19,3,10,3.33,0,1,5,5.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
67,1984,1984-09-16,3,27.214,MIN,,ATL,W 27-20,0,0,,0,0,0,,0,,,,,,,,,,,,,,,,0,
68,1984,1984-09-23,4,27.221,MIN,@,DET,W 29-28,6,36,6.00,0,2,20,10.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
69,1984,1984-09-30,5,27.228,MIN,,SEA,L 12-20,6,54,9.00,0,2,8,4.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
70,1984,1984-10-07,6,27.235,MIN,@,TAM,L 31-35,9,80,8.89,1,8,71,8.88,1,0,0,,0,0,0,,,,,,0,0,,0,2,12
71,1984,1984-10-14,7,27.242,MIN,@,RAI,L 20-23,12,38,3.17,0,2,13,6.50,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
72,1984,1984-10-21,8,27.249,MIN,,DET,L 14-16,11,6,0.55,1,3,24,8.00,0,0,0,,0,0,0,,,,,,0,0,,0,1,6
73,1984,1984-10-28,9,27.256,MIN,@,CHI,L 7-16,3,17,5.67,0,1,9,9.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
74,1984,1984-11-04,10,27.263,MIN,,TAM,W 27-24,10,32,3.20,0,9,86,9.56,1,0,0,,0,0,0,,,,,,0,0,,0,1,6
75,1984,1984-11-11,11,27.270,MIN,@,GNB,L 17-45,14,72,5.14,0,8,29,3.63,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
76,1984,1984-11-18,12,27.277,MIN,@,DEN,L 21-42,7,24,3.43,1,6,68,11.33,1,0,0,,0,0,0,,,,,,0,0,,0,2,12
77,1984,1984-11-25,13,27.284,MIN,,CHI,L 3-34,5,20,4.00,0,1,6,6.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
78,1985,1985-09-08,1,28.205,MIN,,SFO,W 28-21,1,10,10.00,1,1,4,4.00,0,0,0,,0,0,0,,,,,,0,0,,0,1,6
79,1985,1985-09-15,2,28.212,MIN,@,TAM,W 31-16,6,15,2.50,0,5,82,16.40,1,0,0,,0,0,0,,,,,,0,0,,0,1,6
80,1985,1985-09-19,3,28.216,MIN,,CHI,L 24-33,1,6,6.00,0,1,9,9.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
81,1985,1985-09-29,4,28.226,MIN,@,BUF,W 27-20,13,80,6.15,1,2,29,14.50,1,0,0,,0,0,0,,,,,,0,0,,0,2,12
82,1985,1985-10-06,5,28.233,MIN,@,RAM,L 10-13,7,18,2.57,1,3,20,6.67,0,0,0,,0,0,0,,,,,,0,0,,0,1,6
83,1985,1985-10-13,6,28.240,MIN,@,GNB,L 17-20,11,19,1.73,0,4,32,8.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
84,1985,1985-11-03,9,28.261,MIN,,DET,W 16-13,7,8,1.14,1,1,4,4.00,0,0,0,,0,0,0,,,,,,0,0,,0,1,6
85,1985,1985-11-10,10,28.268,MIN,,GNB,L 17-27,8,24,3.00,1,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,6
86,1985,1985-11-17,11,28.275,MIN,@,DET,L 21-41,2,12,6.00,0,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
87,1985,1985-11-24,12,28.282,MIN,,NOR,L 23-30,8,40,5.00,0,8,54,6.75,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
