ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result
1,1976,1976-09-12,1,22.186,NOR,,MIN,L 9-40
2,1976,1976-09-19,2,22.193,NOR,,DAL,L 6-24
3,1976,1976-09-26,3,22.200,NOR,@,KAN,W 27-17
4,1976,1976-10-03,4,22.207,NOR,,HOU,L 26-31
5,1976,1976-10-10,5,22.214,NOR,,ATL,W 30-0
6,1976,1976-10-17,6,22.221,NOR,@,SFO,L 3-33
7,1976,1976-10-24,7,22.228,NOR,,RAM,L 10-16
8,1976,1976-10-31,8,22.235,NOR,@,ATL,L 20-23
9,1976,1976-11-07,9,22.242,NOR,@,GNB,L 27-32
10,1976,1976-11-14,10,22.249,NOR,,DET,W 17-16
11,1976,1976-11-21,11,22.256,NOR,@,SEA,W 51-27
12,1976,1976-11-28,12,22.263,NOR,@,RAM,L 14-33
13,1976,1976-12-05,13,22.270,NOR,@,NWE,L 6-27
14,1976,1976-12-12,14,22.277,NOR,,SFO,L 7-27
15,1977,1977-09-18,1,23.192,NOR,,GNB,L 20-24
16,1977,1977-09-25,2,23.199,NOR,@,DET,L 19-23
17,1977,1977-10-02,3,23.206,NOR,@,CHI,W 42-24
18,1977,1977-10-09,4,23.213,NOR,,SDG,L 0-14
19,1977,1977-10-16,5,23.220,NOR,@,RAM,L 7-14
20,1977,1977-10-23,6,23.227,NOR,@,STL,L 31-49
21,1977,1977-10-30,7,23.234,NOR,,RAM,W 27-26
22,1977,1977-11-06,8,23.241,NOR,@,PHI,L 7-28
23,1977,1977-11-13,9,23.248,NOR,,SFO,L 7-10
24,1977,1977-11-20,10,23.255,NOR,,ATL,W 21-20
25,1977,1977-11-27,11,23.262,NOR,@,SFO,L 17-20
26,1977,1977-12-04,12,23.269,NOR,,NYJ,L 13-16
27,1977,1977-12-11,13,23.276,NOR,,TAM,L 14-33
28,1977,1977-12-18,14,23.283,NOR,@,ATL,L 7-35
29,1978,1978-09-03,1,24.177,STL,@,CHI,L 10-17
30,1978,1978-09-10,2,24.184,STL,,NWE,L 6-16
31,1978,1978-09-17,3,24.191,STL,,WAS,L 10-28
32,1978,1978-09-24,4,24.198,STL,@,DAL,L 12-21
33,1978,1978-10-01,5,24.205,STL,@,MIA,L 10-24
34,1978,1978-10-08,6,24.212,STL,,BAL,L 17-30
35,1978,1978-10-15,7,24.219,STL,,DAL,L 21-24
36,1978,1978-10-22,8,24.226,STL,@,NYJ,L 10-23
37,1978,1978-10-29,9,24.233,STL,@,PHI,W 16-10
38,1978,1978-11-05,10,24.240,STL,,NYG,W 20-10
39,1978,1978-11-12,11,24.247,STL,@,SFO,W 16-10
40,1978,1978-11-19,12,24.254,STL,@,WAS,W 27-17
41,1978,1978-11-26,13,24.261,STL,,PHI,L 10-14
42,1978,1978-12-03,14,24.268,STL,,DET,W 21-14
43,1978,1978-12-10,15,24.275,STL,@,NYG,L 0-17
44,1978,1978-12-17,16,24.282,STL,,ATL,W 42-21
45,1979,1979-09-02,1,25.176,STL,,DAL,L 21-22
46,1979,1979-09-09,2,25.183,STL,@,NYG,W 27-14
47,1979,1979-09-16,3,25.190,STL,,PIT,L 21-24
48,1979,1979-10-07,6,25.211,STL,@,HOU,W 24-17
49,1979,1979-10-14,7,25.218,STL,,PHI,L 20-24
50,1979,1979-10-21,8,25.225,STL,@,DAL,L 13-22
51,1979,1979-10-28,9,25.232,STL,,CLE,L 20-38
52,1979,1979-11-04,10,25.239,STL,,MIN,W 37-7
53,1979,1979-11-11,11,25.246,STL,@,WAS,L 28-30
54,1979,1979-11-18,12,25.253,STL,@,PHI,L 13-16
55,1979,1979-11-25,13,25.260,STL,@,CIN,L 28-34
56,1979,1979-12-02,14,25.267,STL,,SFO,W 13-10
57,1979,1979-12-09,15,25.274,STL,,NYG,W 29-20
58,1979,1979-12-16,16,25.281,STL,@,CHI,L 6-42
59,1981,1981-09-06,1,27.180,STL,,MIA,L 7-20
60,1981,1981-09-13,2,27.187,STL,@,DAL,L 17-30
61,1981,1981-09-20,3,27.194,STL,,WAS,W 40-30
62,1981,1981-09-27,4,27.201,STL,@,TAM,L 10-20
63,1981,1981-10-04,5,27.208,STL,,DAL,W 20-17
64,1981,1981-10-11,6,27.215,STL,@,NYG,L 14-34
65,1981,1981-10-18,7,27.222,STL,@,ATL,L 20-41
66,1981,1981-10-25,8,27.229,STL,,MIN,W 30-17
67,1981,1981-11-01,9,27.236,STL,@,WAS,L 21-42
68,1981,1981-11-08,10,27.243,STL,,PHI,L 10-52
69,1981,1981-11-15,11,27.250,STL,,BUF,W 24-0
