ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result
1,1992,1992-09-06,1,26.135,SEA,,CIN,L 3-21
2,1992,1992-09-13,2,26.142,SEA,@,KAN,L 7-26
3,1992,1992-09-20,3,26.149,SEA,@,NWE,W 10-6
4,1992,1992-10-25,8,26.184,SEA,@,NYG,L 10-23
5,1992,1992-11-08,9,26.198,SEA,,WAS,L 3-16
6,1992,1992-11-15,10,26.205,SEA,@,RAI,L 3-20
7,1992,1992-11-22,11,26.212,SEA,,KAN,L 14-24
8,1992,1992-12-06,13,26.226,SEA,@,PIT,L 14-20
9,1992,1992-12-13,14,26.233,SEA,,PHI,L 17-20
10,1992,1992-12-20,15,26.240,SEA,@,DEN,L 6-10
11,1993,1993-09-12,2,27.141,TAM,@,NYG,L 7-23
12,1993,1993-09-26,3,27.155,TAM,@,CHI,L 17-47
13,1993,1993-11-14,9,27.204,TAM,,SFO,L 21-45
14,1993,1993-11-21,10,27.211,TAM,,MIN,W 23-10
15,1993,1993-11-28,11,27.218,TAM,@,GNB,L 10-13
16,1993,1993-12-05,12,27.225,TAM,,WAS,L 17-23
17,1993,1993-12-12,13,27.232,TAM,,CHI,W 13-10
