ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,def_int,def_int_yds,def_int_td
1,1994,1994-09-04,1,23.334,NYG,,PHI,W 28-23,,,,
2,1994,1994-09-11,2,23.341,NYG,@,ARI,W 20-17,,,,
3,1994,1994-09-18,3,23.348,NYG,,WAS,W 31-23,,,,
4,1994,1994-10-02,4,23.362,NYG,@,NOR,L 22-27,,,,
5,1994,1994-10-10,5,24.005,NYG,,MIN,L 10-27,,,,
6,1994,1994-10-16,6,24.011,NYG,@,RAM,L 10-17,,,,
7,1994,1994-10-23,7,24.018,NYG,,PIT,L 6-10,,,,
8,1994,1994-10-30,8,24.025,NYG,,DET,L 25-28,,,,
9,1994,1994-11-07,9,24.033,NYG,@,DAL,L 10-38,,,,
10,1994,1994-11-13,10,24.039,NYG,,ARI,L 9-10,,,,
11,1994,1994-11-21,11,24.047,NYG,@,HOU,W 13-10,,,,
12,1994,1994-11-27,12,24.053,NYG,@,WAS,W 21-19,,,,
13,1994,1994-12-04,13,24.060,NYG,@,CLE,W 16-13,,,,
14,1994,1994-12-11,14,24.067,NYG,,CIN,W 27-20,,,,
15,1994,1994-12-18,15,24.074,NYG,@,PHI,W 16-13,,1,0,0
16,1994,1994-12-24,16,24.080,NYG,,DAL,W 15-10,,,,
17,1995,1995-09-04,1,24.334,NYG,,DAL,L 0-35,,,,
18,1995,1995-09-10,2,24.340,NYG,@,KAN,L 17-20,,,,
19,1995,1995-09-17,3,24.347,NYG,@,GNB,L 6-14,,,,
20,1995,1995-09-24,4,24.354,NYG,,NOR,W 45-29,,,,
21,1995,1995-10-01,5,24.361,NYG,@,SFO,L 6-20,,,,
22,1995,1995-10-08,6,25.003,NYG,,ARI,W 27-21,,,,
23,1995,1995-10-15,7,25.010,NYG,,PHI,L 14-17,,,,
24,1995,1995-10-29,8,25.024,NYG,@,WAS,W 24-15,,1,0,0
25,1995,1995-11-05,9,25.031,NYG,@,SEA,L 28-30,,,,
26,1995,1995-11-12,10,25.038,NYG,,OAK,L 13-17,,,,
27,1995,1995-11-19,11,25.045,NYG,@,PHI,L 19-28,,,,
28,1995,1995-11-26,12,25.052,NYG,,CHI,L 24-27,,,,
29,1995,1995-11-30,13,25.056,NYG,@,ARI,W 10-6,,1,15,0
30,1995,1995-12-10,14,25.066,NYG,,WAS,W 20-13,,,,
31,1995,1995-12-17,15,25.073,NYG,@,DAL,L 20-21,,,,
32,1995,1995-12-23,16,25.079,NYG,,SDG,L 17-27,,,,
33,1996,1996-09-01,1,25.332,NYG,,BUF,L 20-23,,,,
34,1996,1996-09-08,2,25.339,NYG,@,DAL,L 0-27,,,,
35,1996,1996-09-15,3,25.346,NYG,,WAS,L 10-31,,,,
36,1996,1996-09-22,4,25.353,NYG,@,NYJ,W 13-6,,,,
37,1996,1996-09-29,5,25.360,NYG,,MIN,W 15-10,,,,
38,1996,1996-10-13,6,26.008,NYG,,PHI,L 10-19,,,,
39,1996,1996-10-20,7,26.015,NYG,@,WAS,L 21-31,,,,
40,1996,1996-10-27,8,26.022,NYG,@,DET,W 35-7,,,,
41,1996,1996-11-03,9,26.029,NYG,,ARI,W 16-8,,,,
42,1996,1996-11-10,10,26.036,NYG,@,CAR,L 17-27,,,,
43,1996,1996-11-17,11,26.043,NYG,@,ARI,L 23-31,,,,
44,1996,1996-11-24,12,26.050,NYG,,DAL,W 20-6,,,,
45,1996,1996-12-01,13,26.057,NYG,@,PHI,L 0-24,,,,
46,1996,1996-12-08,14,26.064,NYG,@,MIA,W 17-7,,,,
47,1996,1996-12-15,15,26.071,NYG,,NOR,L 3-17,,,,
48,1996,1996-12-21,16,26.077,NYG,,NWE,L 22-23,,,,
49,1997,1997-08-31,1,26.330,NYG,,PHI,W 31-17,,,,
50,1997,1997-09-07,2,26.337,NYG,@,JAX,L 13-40,,,,
51,1997,1997-09-14,3,26.344,SEA,@,IND,W 31-3,,,,
52,1997,1997-09-21,4,26.351,NYG,@,STL,L 3-13,,,,
53,1997,1997-09-28,5,26.358,NYG,,NOR,W 14-9,,1,1,0
54,1997,1997-10-05,6,27.000,NYG,,DAL,W 20-17,,,,
55,1997,1997-10-12,7,27.007,NYG,@,ARI,W 27-13,,,,
56,1997,1997-10-19,8,27.014,NYG,@,DET,W 26-20,,,,
57,1997,1997-10-26,9,27.021,NYG,,CIN,W 29-27,,,,
58,1997,1997-11-09,10,27.035,NYG,@,TEN,L 6-10,,,,
59,1997,1997-11-16,11,27.042,NYG,,ARI,W 19-10,,,,
60,1997,1997-11-23,12,27.049,NYG,@,WAS,T 7-7,,,,
61,1997,1997-11-30,13,27.056,NYG,,TAM,L 8-20,,,,
62,1997,1997-12-07,14,27.063,NYG,@,PHI,W 31-21,,,,
63,1997,1997-12-13,15,27.069,NYG,,WAS,W 30-10,,,,
64,1997,1997-12-21,16,27.077,NYG,@,DAL,W 20-7,,,,
65,1998,1998-09-06,1,27.336,CIN,,TEN,L 14-23,,,,
66,1998,1998-09-13,2,27.343,CIN,@,DET,W 34-28,,,,
67,1998,1998-09-20,3,27.350,CIN,,GNB,L 6-13,,,,
68,1998,1998-10-11,5,28.006,CIN,,PIT,W 25-20,,,,
69,1998,1998-10-18,6,28.013,CIN,@,TEN,L 14-44,,,,
70,1998,1998-10-25,7,28.020,CIN,@,OAK,L 10-27,,,,
71,1998,1998-11-01,8,28.027,CIN,,DEN,L 26-33,,,,
72,1998,1998-11-08,9,28.034,CIN,@,JAX,L 11-24,,,,
73,1998,1998-11-15,10,28.041,CIN,@,MIN,L 3-24,,,,
74,1998,1998-11-22,11,28.048,CIN,,BAL,L 13-20,,1,0,0
75,1998,1998-11-29,12,28.055,CIN,,JAX,L 17-34,,,,
76,1998,1998-12-06,13,28.062,CIN,,BUF,L 20-33,,,,
77,1998,1998-12-13,14,28.069,CIN,@,IND,L 26-39,,,,
78,1998,1998-12-20,15,28.076,CIN,@,PIT,W 25-24,,,,
79,1998,1998-12-27,16,28.083,CIN,,TAM,L 0-35,,,,
80,1999,1999-09-19,2,28.349,IND,@,NWE,L 28-31,,,,
81,1999,1999-09-26,3,28.356,IND,@,SDG,W 27-19,,,,
82,1999,1999-10-10,4,29.005,IND,,MIA,L 31-34,,,,
83,1999,1999-10-17,5,29.012,IND,@,NYJ,W 16-13,,,,
84,1999,1999-10-24,6,29.019,IND,,CIN,W 31-10,,,,
85,1999,1999-10-31,7,29.026,IND,,DAL,W 34-24,,,,
86,1999,1999-11-07,8,29.033,IND,,KAN,W 25-17,,,,
87,1999,1999-11-14,9,29.040,IND,@,NYG,W 27-19,,1,0,0
88,1999,1999-11-21,10,29.047,IND,@,PHI,W 44-17,,,,
89,1999,1999-11-28,11,29.054,IND,,NYJ,W 13-6,,,,
90,1999,1999-12-05,12,29.061,IND,@,MIA,W 37-34,,,,
91,1999,1999-12-12,13,29.068,IND,,NWE,W 20-15,,,,
92,1999,1999-12-19,14,29.075,IND,,WAS,W 24-21,,,,
93,1999,1999-12-26,15,29.082,IND,@,CLE,W 29-28,,,,
94,1999,2000-01-02,16,29.089,IND,@,BUF,L 6-31,,,,
