ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1986,1986-09-08,1,22.285,DAL,,NYG,W 31-28,1,1,1.00,1,0,0,,0,1,6
2,1986,1986-09-14,2,22.291,DAL,@,DET,W 31-7,0,0,,0,,,,,,
3,1986,1986-09-21,3,22.298,DAL,,ATL,L 35-37,2,12,6.00,1,0,0,,0,1,6
4,1986,1986-09-29,4,22.306,DAL,@,STL,W 31-7,0,0,,0,,,,,,
5,1986,1986-10-12,6,22.319,DAL,,WAS,W 30-6,0,0,,0,,,,,,
6,1986,1986-10-19,7,22.326,DAL,@,PHI,W 17-14,0,0,,0,,,,,,
7,1986,1986-10-26,8,22.333,DAL,,STL,W 37-6,1,15,15.00,0,0,0,,0,0,0
8,1986,1986-11-02,9,22.340,DAL,@,NYG,L 14-17,0,0,,0,,,,,,
9,1986,1986-11-09,10,22.347,DAL,,RAI,L 13-17,0,0,,0,,,,,,
10,1986,1986-11-16,11,22.354,DAL,@,SDG,W 24-21,0,0,,0,,,,,,
11,1986,1986-11-23,12,22.361,DAL,@,WAS,L 14-41,2,29,14.50,0,0,0,,0,0,0
12,1986,1986-11-27,13,23.000,DAL,,SEA,L 14-31,0,0,,0,,,,,,
13,1986,1986-12-07,14,23.010,DAL,@,RAM,L 10-29,0,0,,0,,,,,,
14,1986,1986-12-14,15,23.017,DAL,,PHI,L 21-23,0,0,,0,,,,,,
15,1986,1986-12-21,16,23.024,DAL,,CHI,L 10-24,0,0,,0,,,,,,
16,1987,1987-09-13,1,23.290,DAL,@,STL,L 13-24,0,0,,0,0,0,,0,,
17,1987,1987-09-20,2,23.297,DAL,@,NYG,W 16-14,1,1,1.00,1,0,0,,0,1,6
18,1987,1987-10-25,6,23.332,DAL,@,PHI,L 20-37,0,0,,0,1,7,7.00,0,0,0
19,1987,1987-11-02,7,23.340,DAL,,NYG,W 33-24,1,5,5.00,0,0,0,,0,0,0
20,1987,1987-11-08,8,23.346,DAL,@,DET,L 17-27,0,0,,0,0,0,,0,,
21,1987,1987-11-15,9,23.353,DAL,@,NWE,W 23-17,1,3,3.00,0,0,0,,0,0,0
22,1987,1987-11-22,10,23.360,DAL,,MIA,L 14-20,0,0,,0,0,0,,0,,
23,1987,1987-11-26,11,23.364,DAL,,MIN,L 38-44,0,0,,0,0,0,,0,,
24,1987,1987-12-06,12,24.009,DAL,,ATL,L 10-21,0,0,,0,0,0,,0,,
25,1987,1987-12-13,13,24.016,DAL,@,WAS,L 20-24,1,7,7.00,0,0,0,,0,0,0
26,1987,1987-12-21,14,24.024,DAL,@,RAM,W 29-21,0,0,,0,0,0,,0,,
27,1987,1987-12-27,15,24.030,DAL,,STL,W 21-16,1,9,9.00,0,0,0,,0,0,0
28,1988,1988-09-04,1,24.282,DAL,@,PIT,L 21-24,0,0,,0,,,,,,
29,1988,1988-09-12,2,24.290,DAL,@,PHO,W 17-14,0,0,,0,,,,,,
30,1988,1988-09-18,3,24.296,DAL,,NYG,L 10-12,1,12,12.00,0,0,0,,0,0,0
31,1988,1988-09-25,4,24.303,DAL,,ATL,W 26-20,0,0,,0,,,,,,
32,1988,1988-10-03,5,24.311,DAL,@,NOR,L 17-20,2,35,17.50,0,0,0,,0,0,0
33,1988,1988-10-09,6,24.317,DAL,,WAS,L 17-35,1,13,13.00,0,0,0,,0,0,0
34,1988,1988-10-16,7,24.324,DAL,@,CHI,L 7-17,2,15,7.50,0,0,0,,0,0,0
35,1988,1988-10-23,8,24.331,DAL,@,PHI,L 23-24,3,9,3.00,0,0,0,,0,0,0
36,1988,1988-10-30,9,24.338,DAL,,PHO,L 10-16,0,0,,0,,,,,,
37,1988,1988-11-06,10,24.345,DAL,@,NYG,L 21-29,2,30,15.00,0,0,0,,0,0,0
38,1988,1988-11-13,11,24.352,DAL,,MIN,L 3-43,1,4,4.00,0,0,0,,0,0,0
39,1988,1988-11-20,12,24.359,DAL,,CIN,L 24-38,2,22,11.00,1,0,0,,0,1,6
40,1988,1988-11-24,13,24.363,DAL,,HOU,L 17-25,1,18,18.00,0,0,0,,0,0,0
41,1988,1988-12-04,14,25.007,DAL,@,CLE,L 21-24,1,12,12.00,0,0,0,,0,0,0
42,1988,1988-12-11,15,25.014,DAL,@,WAS,W 24-17,1,7,7.00,0,0,0,,0,0,0
43,1988,1988-12-18,16,25.021,DAL,,PHI,L 7-23,1,9,9.00,0,0,0,,0,0,0
44,1989,1989-09-10,1,25.287,DAL,@,NOR,L 0-28,,,,,0,0,,0,,
45,1989,1989-09-17,2,25.294,DAL,@,ATL,L 21-27,,,,,0,0,,0,,
46,1989,1989-09-24,3,25.301,DAL,,WAS,L 7-30,,,,,0,0,,0,,
47,1989,1989-10-01,4,25.308,DAL,,NYG,L 13-30,,,,,0,0,,0,,
48,1989,1989-10-08,5,25.315,DAL,@,GNB,L 13-31,,,,,0,0,,0,,
49,1989,1989-10-15,6,25.322,DAL,,SFO,L 14-31,0,0,,0,1,8,8.00,0,0,0
