ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1997,1997-12-21,16,24.073,JAX,@,OAK,W 20-9,,,,,
2,1998,1998-09-27,4,24.353,JAX,@,TEN,W 27-22,,,,,
3,1998,1998-10-12,5,25.003,JAX,,MIA,W 28-21,,,,,
4,1998,1998-10-18,6,25.009,JAX,@,BUF,L 16-17,,,,,
5,1998,1998-10-25,7,25.016,JAX,@,DEN,L 24-37,,,,,
6,1998,1998-11-08,9,25.030,JAX,,CIN,W 24-11,,,,,
7,1998,1998-11-15,10,25.037,JAX,,TAM,W 29-24,,1,0,0.00,0
8,1998,1998-11-22,11,25.044,JAX,@,PIT,L 15-30,,,,,
9,1998,1998-12-06,13,25.058,JAX,,DET,W 37-22,,,,,
10,1998,1998-12-13,14,25.065,JAX,,TEN,L 13-16,,,,,
11,2000,2000-09-03,1,26.330,JAX,@,CLE,W 27-7,,,,,
12,2000,2000-09-10,2,26.337,JAX,@,BAL,L 36-39,,,,,
13,2000,2000-09-17,3,26.344,JAX,,CIN,W 13-0,,,,,
14,2000,2000-09-25,4,26.352,JAX,@,IND,L 14-43,,,,,
15,2000,2000-10-01,5,26.358,JAX,,PIT,L 13-24,,,,,
16,2000,2000-10-08,6,26.365,JAX,,BAL,L 10-15,,1,0,0.00,0
17,2000,2000-10-16,7,27.007,JAX,@,TEN,L 13-27,,,,,
18,2000,2000-10-22,8,27.013,JAX,,WAS,L 16-35,,,,,
19,2000,2000-10-29,9,27.020,JAX,@,DAL,W 23-17,*,,,,
20,2000,2000-11-12,10,27.034,JAX,,SEA,L 21-28,,,,,
21,2000,2000-11-19,11,27.041,JAX,@,PIT,W 34-24,*,,,,
22,2000,2000-11-26,12,27.048,JAX,,TEN,W 16-13,*,,,,
23,2000,2000-12-03,13,27.055,JAX,,CLE,W 48-0,*,,,,
24,2000,2000-12-10,14,27.062,JAX,,ARI,W 44-10,*,,,,
25,2000,2000-12-17,15,27.069,JAX,@,CIN,L 14-17,*,,,,
26,2000,2000-12-23,16,27.075,JAX,@,NYG,L 25-28,,,,,
27,2001,2001-10-18,5,28.009,JAX,,BUF,L 10-13,*,,,,
28,2001,2001-10-28,6,28.019,JAX,@,BAL,L 17-18,*,,,,
29,2001,2001-11-04,7,28.026,JAX,@,TEN,L 24-28,*,,,,
30,2001,2001-11-11,8,28.033,JAX,,CIN,W 30-13,*,,,,
31,2001,2001-11-18,9,28.040,JAX,@,PIT,L 7-20,*,,,,
32,2001,2001-11-25,10,28.047,JAX,,BAL,L 21-24,*,,,,
33,2001,2001-12-03,11,28.055,JAX,,GNB,L 21-28,*,,,,
34,2001,2001-12-09,12,28.061,JAX,@,CIN,W 14-10,*,,,,
35,2001,2001-12-16,13,28.068,JAX,@,CLE,W 15-10,*,,,,
36,2001,2001-12-23,14,28.075,JAX,@,MIN,W 33-3,*,,,,
37,2001,2001-12-30,15,28.082,JAX,,KAN,L 26-30,*,,,,
38,2001,2002-01-06,16,28.089,JAX,@,CHI,L 13-33,*,,,,
39,2002,2002-09-08,1,28.334,JAX,,IND,L 25-28,,,,,
40,2002,2002-09-15,2,28.341,JAX,@,KAN,W 23-16,,,,,
41,2002,2002-09-29,3,28.355,JAX,,NYJ,W 28-3,,,,,
42,2002,2002-10-06,4,28.362,JAX,,PHI,W 28-25,,,,,
43,2002,2002-10-13,5,29.004,JAX,@,TEN,L 14-23,,,,,
44,2002,2002-10-20,6,29.011,JAX,@,BAL,L 10-17,,,,,
45,2002,2002-10-27,7,29.018,JAX,,HOU,L 19-21,,,,,
46,2002,2002-11-03,8,29.025,JAX,@,NYG,L 17-24,*,,,,
47,2002,2002-11-10,9,29.032,JAX,,WAS,W 26-7,*,,,,
48,2002,2002-11-17,10,29.039,JAX,@,HOU,W 24-21,*,,,,
49,2002,2002-11-24,11,29.046,JAX,@,DAL,L 19-21,*,,,,
50,2002,2002-12-01,12,29.053,JAX,,PIT,L 23-25,*,,,,
51,2002,2002-12-08,13,29.060,JAX,,CLE,L 20-21,*,,,,
52,2002,2002-12-15,14,29.067,JAX,@,CIN,W 29-15,*,,,,
53,2002,2002-12-22,15,29.074,JAX,,TEN,L 10-28,*,,,,
54,2002,2002-12-29,16,29.081,JAX,@,IND,L 13-20,*,,,,
55,2003,2003-09-07,1,29.333,PIT,,BAL,W 34-15,*,,,,
56,2003,2003-09-14,2,29.340,PIT,@,KAN,L 20-41,*,,,,
57,2003,2003-09-21,3,29.347,PIT,@,CIN,W 17-10,*,,,,
58,2003,2003-09-28,4,29.354,PIT,,TEN,L 13-30,*,,,,
59,2003,2003-10-05,5,29.361,PIT,,CLE,L 13-33,*,,,,
60,2003,2003-10-12,6,30.003,PIT,@,DEN,L 14-17,,,,,
61,2003,2003-10-26,7,30.017,PIT,,STL,L 21-33,*,,,,
62,2003,2003-11-17,10,30.039,PIT,@,SFO,L 14-30,,,,,
63,2003,2003-11-23,11,30.045,PIT,@,CLE,W 13-6,,,,,
