ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks,def_int,def_int_yds,def_int_td
1,1978,1978-09-03,1,22.040,CIN,,KAN,L 23-24,,,,,,,,,,,,
2,1978,1978-09-10,2,22.047,CIN,@,CLE,L 10-13,,,,,,,,,,,,
3,1978,1978-09-17,3,22.054,CIN,,PIT,L 3-28,,,,,,,,,,,,
4,1978,1978-09-24,4,22.061,CIN,,NOR,L 18-20,,,,,,,,,,,,
5,1978,1978-10-01,5,22.068,CIN,@,SFO,L 12-28,0,0,,0,0,0,,0,0.0,1,1,0
6,1978,1978-10-09,6,22.076,CIN,@,MIA,L 0-21,,,,,,,,,,,,
7,1978,1978-10-15,7,22.082,CIN,,NWE,L 3-10,,,,,,,,,,,,
8,1978,1978-10-22,8,22.089,CIN,@,BUF,L 0-5,,,,,,,,,,,,
9,1978,1978-10-29,9,22.096,CIN,,HOU,W 28-13,,,,,,,,,,,,
10,1978,1978-11-05,10,22.103,CIN,@,SDG,L 13-22,,,,,,,,,,,,
11,1978,1978-11-13,11,22.111,CIN,,OAK,L 21-34,,,,,,,,,,,,
12,1978,1978-11-19,12,22.117,CIN,@,PIT,L 6-7,,,,,,,,,,,,
13,1978,1978-11-26,13,22.124,CIN,@,HOU,L 10-17,,,,,,,,,,,,
14,1978,1978-12-03,14,22.131,CIN,,ATL,W 37-7,1,20,20.00,0,0,0,,0,0.0,0,0,0
15,1978,1978-12-11,15,22.139,CIN,@,RAM,W 20-19,,,,,,,,,,,,
16,1978,1978-12-17,16,22.145,CIN,,CLE,W 48-16,,,,,,,,,,,,
17,1979,1979-09-02,1,23.039,CIN,@,DEN,L 0-10,,,,,,,,,,,,
18,1979,1979-09-09,2,23.046,CIN,@,BUF,L 24-51,,,,,,,,,,,,
19,1979,1979-09-16,3,23.053,CIN,,NWE,L 14-20,,,,,,,,,,,,
20,1979,1979-09-23,4,23.060,CIN,,HOU,L 27-30,,,,,,,,,,,,
21,1979,1979-09-30,5,23.067,CIN,@,DAL,L 13-38,,,,,,,,,,,,
22,1979,1979-10-07,6,23.074,CIN,,KAN,L 7-10,,,,,,,,,,,,
23,1979,1979-10-14,7,23.081,CIN,,PIT,W 34-10,,,,,,,,,,,,
24,1979,1979-10-21,8,23.088,CIN,@,CLE,L 27-28,1,9,9.00,0,0,0,,0,0.0,0,0,0
25,1979,1979-10-28,9,23.095,CIN,,PHI,W 37-13,,,,,,,,,,,,
26,1979,1979-11-04,10,23.102,CIN,@,BAL,L 28-38,,,,,,,,,,,,
27,1979,1979-11-11,11,23.109,CIN,,SDG,L 24-26,,,,,,,,,,,,
28,1979,1979-11-18,12,23.116,CIN,@,HOU,L 21-42,,,,,,,,,,,,
29,1979,1979-11-25,13,23.123,CIN,,STL,W 34-28,,,,,,,,,,,,
30,1979,1979-12-02,14,23.130,CIN,@,PIT,L 17-37,,,,,,,,,,,,
31,1979,1979-12-09,15,23.137,CIN,@,WAS,L 14-28,1,5,5.00,0,0,0,,0,0.0,0,0,0
32,1979,1979-12-16,16,23.144,CIN,,CLE,W 16-12,,,,,,,,,,,,
33,1980,1980-09-07,1,24.044,CIN,,TAM,L 12-17,,,,,,,,,,,,
34,1980,1980-09-14,2,24.051,CIN,@,MIA,L 16-17,,,,,,,,,,,,
35,1980,1980-09-21,3,24.058,CIN,,PIT,W 30-28,,,,,,,,,,,,
36,1980,1980-09-28,4,24.065,CIN,,HOU,L 10-13,,,,,,,,,,,,
37,1980,1980-10-05,5,24.072,CIN,@,GNB,L 9-14,,,,,,,,,,,,
38,1980,1980-10-12,6,24.079,CIN,@,PIT,W 17-16,,,,,,,,,,,,
39,1980,1980-10-19,7,24.086,CIN,,MIN,W 14-0,,,,,,,,,,,,
40,1980,1980-10-26,8,24.093,CIN,@,HOU,L 3-23,,,,,,,,,,,,
41,1980,1980-11-02,9,24.100,CIN,,SDG,L 14-31,,,,,,,,,,,,
42,1980,1980-11-09,10,24.107,CIN,@,OAK,L 17-28,,,,,,,,,,,,
43,1980,1980-11-16,11,24.114,CIN,,BUF,L 0-14,,,,,,,,,,,,
44,1980,1980-11-23,12,24.121,CIN,@,CLE,L 7-31,,,,,,,,,,,,
45,1980,1980-11-30,13,24.128,CIN,@,KAN,W 20-6,,,,,,,,,,,,
46,1980,1980-12-07,14,24.135,CIN,,BAL,W 34-33,,,,,,,,,,,,
47,1980,1980-12-14,15,24.142,CIN,@,CHI,W 17-14,,,,,,,,,,,,
