ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1977,1977-09-18,1,24.164,ATL,,RAM,W 17-6,,,,
2,1977,1977-09-25,2,24.171,ATL,@,WAS,L 6-10,,,,
3,1977,1977-10-02,3,24.178,ATL,,NYG,W 17-3,,,,
4,1977,1977-10-09,4,24.185,ATL,@,SFO,W 7-0,,,,
5,1977,1977-10-16,5,24.192,ATL,@,BUF,L 0-3,,,,
6,1977,1977-10-23,6,24.199,ATL,@,CHI,W 16-10,,,,
7,1977,1977-10-30,7,24.206,ATL,,MIN,L 7-14,2,25,12.50,0
8,1977,1977-11-06,8,24.213,ATL,,SFO,L 3-10,,,,
9,1977,1977-11-13,9,24.220,ATL,,DET,W 17-6,,,,
10,1977,1977-11-20,10,24.227,ATL,@,NOR,L 20-21,3,61,20.33,0
11,1977,1977-11-27,11,24.234,ATL,@,TAM,W 17-0,,,,
12,1977,1977-12-04,12,24.241,ATL,,NWE,L 10-16,3,50,16.67,0
13,1977,1977-12-11,13,24.248,ATL,@,RAM,L 7-23,,,,
14,1977,1977-12-18,14,24.255,ATL,,NOR,W 35-7,,,,
15,1978,1978-09-03,1,25.149,ATL,,HOU,W 20-14,,,,
16,1978,1978-09-10,2,25.156,ATL,@,RAM,L 0-10,,,,
17,1978,1978-09-17,3,25.163,ATL,,CLE,L 16-24,,,,
18,1978,1978-09-24,4,25.170,ATL,@,TAM,L 9-14,,,,
19,1978,1978-10-01,5,25.177,ATL,,NYG,W 23-20,,,,
20,1978,1978-10-08,6,25.184,ATL,@,PIT,L 7-31,,,,
21,1978,1978-10-30,9,25.206,ATL,,RAM,W 15-7,,,,
22,1978,1978-11-05,10,25.212,ATL,,SFO,W 21-10,,,,
23,1978,1978-11-12,11,25.219,ATL,@,NOR,W 20-17,,,,
24,1978,1978-11-19,12,25.226,ATL,@,CHI,L 7-13,,,,
25,1978,1978-11-26,13,25.233,ATL,,NOR,W 20-17,,,,
26,1978,1978-12-03,14,25.240,ATL,@,CIN,L 7-37,,,,
27,1978,1978-12-10,15,25.247,ATL,,WAS,W 20-17,,,,
28,1978,1978-12-17,16,25.254,ATL,@,STL,L 21-42,,,,
29,1979,1979-09-02,1,26.148,ATL,@,NOR,W 40-34,,,,
30,1979,1979-09-10,2,26.156,ATL,@,PHI,W 14-10,,,,
31,1979,1979-09-16,3,26.162,ATL,,DEN,L 17-20,,,,
32,1979,1979-09-23,4,26.169,ATL,@,DET,L 23-24,,,,
33,1979,1979-09-30,5,26.176,ATL,,WAS,L 7-16,,,,
34,1979,1979-10-07,6,26.183,ATL,,GNB,W 25-7,,,,
35,1979,1979-10-14,7,26.190,ATL,@,OAK,L 19-50,,,,
36,1979,1979-10-21,8,26.197,ATL,@,SFO,L 15-20,,,,
37,1979,1979-10-29,9,26.205,ATL,,SEA,L 28-31,,,,
38,1979,1979-11-04,10,26.211,ATL,,TAM,W 17-14,,,,
39,1979,1979-11-11,11,26.218,ATL,@,NYG,L 3-24,,,,
40,1979,1979-11-19,12,26.226,ATL,@,RAM,L 14-20,,,,
41,1979,1979-11-25,13,26.232,ATL,,NOR,L 6-37,,,,
42,1979,1979-12-02,14,26.239,ATL,@,SDG,W 28-26,,,,
43,1979,1979-12-09,15,26.246,ATL,,RAM,L 13-34,,,,
44,1979,1979-12-16,16,26.253,ATL,,SFO,W 31-21,,,,
45,1980,1980-11-30,13,27.237,PIT,,MIA,W 23-10,,,,
46,1980,1980-12-04,14,27.241,PIT,@,HOU,L 0-6,,,,
47,1980,1980-12-14,15,27.251,PIT,,KAN,W 21-16,,,,
48,1980,1980-12-22,16,27.259,PIT,@,SDG,L 17-26,,,,
49,1981,1981-10-25,8,28.201,ATL,,NYG,L 24-27,,,,
50,1981,1981-11-01,9,28.208,ATL,@,NOR,W 41-10,,,,
51,1981,1981-11-08,10,28.215,ATL,@,SFO,L 14-17,,,,
52,1981,1981-11-15,11,28.222,ATL,,PIT,L 20-34,,,,
53,1981,1981-11-23,12,28.230,ATL,,MIN,W 31-30,,,,
54,1981,1981-11-29,13,28.236,ATL,@,HOU,W 31-27,,,,
55,1981,1981-12-06,14,28.243,ATL,@,TAM,L 23-24,,,,
56,1981,1981-12-14,15,28.251,ATL,@,RAM,L 16-21,,,,
57,1981,1981-12-20,16,28.257,ATL,,CIN,L 28-30,,,,
