ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,sacks,def_int,def_int_yds,def_int_td
1,2001,2001-09-09,1,23.241,STL,@,PHI,W 20-17,,,,,
2,2001,2001-09-23,2,23.255,STL,@,SFO,W 30-26,,,,,
3,2001,2001-09-30,3,23.262,STL,,MIA,W 42-10,*,,,,
4,2001,2001-10-08,4,23.270,STL,@,DET,W 35-0,*,,,,
5,2001,2001-10-14,5,23.276,STL,,NYG,W 15-14,,,,,
6,2001,2001-10-21,6,23.283,STL,@,NYJ,W 34-14,,,,,
7,2001,2001-10-28,7,23.290,STL,,NOR,L 31-34,,,,,
8,2001,2001-11-11,8,23.304,STL,,CAR,W 48-14,*,,,,
9,2001,2001-11-18,9,23.311,STL,@,NWE,W 24-17,*,,,,
10,2001,2001-11-26,10,23.319,STL,,TAM,L 17-24,*,,,,
11,2001,2001-12-02,11,23.325,STL,@,ATL,W 35-6,*,,,,
12,2001,2001-12-09,12,23.332,STL,,SFO,W 27-14,*,,,,
13,2001,2001-12-17,13,23.340,STL,@,NOR,W 34-21,*,,,,
14,2001,2001-12-23,14,23.346,STL,@,CAR,W 38-32,*,,,,
15,2001,2001-12-30,15,23.353,STL,,IND,W 42-17,*,,,,
16,2001,2002-01-06,16,23.360,STL,,ATL,W 31-13,*,,,,
17,2002,2002-09-08,1,24.240,STL,@,DEN,L 16-23,*,,,,
18,2002,2002-09-15,2,24.247,STL,,NYG,L 21-26,*,,,,
19,2002,2002-09-23,3,24.255,STL,@,TAM,L 14-26,*,,,,
20,2002,2002-10-13,6,24.275,STL,,OAK,W 28-13,*,,,,
21,2002,2002-10-20,7,24.282,STL,,SEA,W 37-20,*,,,,
22,2002,2002-11-03,8,24.296,STL,@,ARI,W 27-14,*,,,,
23,2002,2002-11-10,9,24.303,STL,,SDG,W 28-24,*,,,,
24,2002,2002-11-18,10,24.311,STL,,CHI,W 21-16,*,,,,
25,2002,2002-11-24,11,24.317,STL,@,WAS,L 17-20,*,,,,
26,2002,2002-12-01,12,24.324,STL,@,PHI,L 3-10,*,,,,
27,2002,2002-12-08,13,24.331,STL,@,KAN,L 10-49,*,,,,
28,2002,2002-12-22,15,24.345,STL,@,SEA,L 10-30,,,,,
29,2003,2003-09-07,1,25.239,STL,@,NYG,L 13-23,*,,,,
30,2003,2003-09-14,2,25.246,STL,,SFO,W 27-24,*,,,,
31,2003,2003-09-21,3,25.253,STL,@,SEA,L 23-24,*,0.0,1,4,0
32,2003,2003-09-28,4,25.260,STL,,ARI,W 37-13,*,,,,
33,2003,2003-10-13,5,25.275,STL,,ATL,W 36-0,*,,,,
34,2003,2003-10-19,6,25.281,STL,,GNB,W 34-24,*,,,,
35,2003,2003-11-09,9,25.302,STL,,BAL,W 33-22,*,0.0,1,22,0
36,2003,2003-11-16,10,25.309,STL,@,CHI,W 23-21,*,0.0,1,0,0
37,2003,2003-11-23,11,25.316,STL,@,ARI,W 30-27,*,,,,
38,2003,2003-11-30,12,25.323,STL,,MIN,W 48-17,*,,,,
39,2003,2003-12-08,13,25.331,STL,@,CLE,W 26-20,*,,,,
40,2003,2003-12-14,14,25.337,STL,,SEA,W 27-22,*,,,,
41,2003,2003-12-21,15,25.344,STL,,CIN,W 27-10,*,0.0,1,6,0
42,2003,2003-12-28,16,25.351,STL,@,DET,L 20-30,*,,,,
43,2004,2004-09-12,1,26.245,STL,,ARI,W 17-10,,,,,
44,2004,2004-09-26,3,26.259,STL,,NOR,L 25-28,*,,,,
45,2004,2004-10-03,4,26.266,STL,@,SFO,W 24-14,*,1.0,0,0,0
46,2004,2004-10-10,5,26.273,STL,@,SEA,W 33-27,*,,,,
47,2004,2004-10-18,6,26.281,STL,,TAM,W 28-21,*,1.0,0,0,0
48,2004,2004-10-24,7,26.287,STL,@,MIA,L 14-31,*,,,,
49,2004,2004-11-07,8,26.301,STL,,NWE,L 22-40,*,,,,
50,2004,2004-11-14,9,26.308,STL,,SEA,W 23-12,*,,,,
51,2004,2004-11-21,10,26.315,STL,@,BUF,L 17-37,,,,,
52,2004,2004-11-29,11,26.323,STL,@,GNB,L 17-45,*,,,,
53,2004,2004-12-05,12,26.329,STL,,SFO,W 16-6,*,,,,
54,2004,2004-12-12,13,26.336,STL,@,CAR,L 7-20,*,,,,
55,2004,2004-12-19,14,26.343,STL,@,ARI,L 7-31,*,,,,
56,2004,2004-12-27,15,26.351,STL,,PHI,W 20-7,*,,,,
57,2004,2005-01-02,16,26.357,STL,,NYJ,W 32-29,*,,,,
58,2005,2005-09-11,1,27.243,BAL,,IND,L 7-24,,,,,
59,2005,2005-09-18,2,27.250,BAL,@,TEN,L 10-25,*,,,,
60,2005,2005-10-02,3,27.264,BAL,,NYJ,W 13-3,*,0.5,0,0,0
61,2005,2005-10-09,4,27.271,BAL,@,DET,L 17-35,*,,,,
62,2005,2005-10-16,5,27.278,BAL,,CLE,W 16-3,*,1.5,0,0,0
63,2005,2005-10-23,6,27.285,BAL,@,CHI,L 6-10,*,,,,
64,2005,2005-10-31,7,27.293,BAL,@,PIT,L 19-20,*,,,,
65,2005,2005-11-06,8,27.299,BAL,,CIN,L 9-21,*,,,,
66,2005,2005-11-13,9,27.306,BAL,@,JAX,L 3-30,*,,,,
67,2005,2005-11-20,10,27.313,BAL,,PIT,W 16-13,*,1.0,0,0,0
68,2005,2005-11-27,11,27.320,BAL,@,CIN,L 29-42,*,,,,
69,2005,2005-12-04,12,27.327,BAL,,HOU,W 16-15,*,,,,
70,2005,2005-12-11,13,27.334,BAL,@,DEN,L 10-12,*,,,,
71,2005,2005-12-19,14,27.342,BAL,,GNB,W 48-3,*,,,,
72,2005,2005-12-25,15,27.348,BAL,,MIN,W 30-23,*,1.0,0,0,0
73,2005,2006-01-01,16,27.355,BAL,@,CLE,L 16-20,*,,,,
