ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,sacks
1,1986,1986-09-07,1,22.316,ATL,@,NOR,W 31-10,
2,1986,1986-09-14,2,22.323,ATL,,STL,W 33-13,
3,1986,1986-09-21,3,22.330,ATL,@,DAL,W 37-35,
4,1986,1986-09-28,4,22.337,ATL,@,TAM,W 23-20,
5,1986,1986-10-05,5,22.344,ATL,,PHI,L 0-16,
6,1986,1986-10-12,6,22.351,ATL,,RAM,W 26-14,
7,1986,1986-10-19,7,22.358,ATL,,SFO,T 10-10,
8,1986,1986-10-26,8,23.000,ATL,@,RAM,L 7-14,
9,1986,1986-11-02,9,23.007,ATL,@,NWE,L 17-25,
10,1986,1986-11-09,10,23.014,ATL,,NYJ,L 14-28,
11,1986,1986-11-16,11,23.021,ATL,,CHI,L 10-13,
12,1986,1986-11-23,12,23.028,ATL,@,SFO,L 0-20,
13,1986,1986-11-30,13,23.035,ATL,@,MIA,W 20-14,
14,1986,1986-12-07,14,23.042,ATL,,IND,L 23-28,
15,1986,1986-12-14,15,23.049,ATL,,NOR,L 9-14,
16,1986,1986-12-21,16,23.056,ATL,@,DET,W 20-6,1.0
17,1987,1987-09-13,1,23.322,ATL,@,TAM,L 10-48,
18,1987,1987-09-20,2,23.329,ATL,,WAS,W 21-20,
19,1987,1987-10-25,6,23.364,ATL,@,HOU,L 33-37,
20,1987,1987-11-01,7,24.006,ATL,,NOR,L 0-38,
21,1987,1987-11-08,8,24.013,ATL,@,CLE,L 3-38,
22,1987,1987-11-15,9,24.020,ATL,,CIN,L 10-16,
23,1987,1987-11-22,10,24.027,ATL,@,MIN,L 13-24,1.0
24,1987,1987-11-29,11,24.034,ATL,,STL,L 21-34,
25,1987,1987-12-06,12,24.041,ATL,@,DAL,W 21-10,1.0
26,1988,1988-09-04,1,24.314,ATL,@,DET,L 17-31,
27,1988,1988-09-11,2,24.321,ATL,,NOR,L 21-29,
28,1988,1988-09-18,3,24.328,ATL,@,SFO,W 34-17,1.0
29,1988,1988-09-25,4,24.335,ATL,@,DAL,L 20-26,1.0
30,1988,1988-10-02,5,24.342,ATL,,SEA,L 20-31,
31,1988,1988-10-09,6,24.349,ATL,,RAM,L 0-33,
32,1988,1988-10-16,7,24.356,ATL,@,DEN,L 14-30,
33,1988,1988-10-23,8,24.363,ATL,,NYG,L 16-23,
34,1988,1988-10-30,9,25.004,ATL,@,PHI,W 27-24,
35,1988,1988-11-06,10,25.011,ATL,,GNB,W 20-0,
36,1988,1988-11-13,11,25.018,ATL,,SDG,L 7-10,
37,1988,1988-11-20,12,25.025,ATL,@,RAI,W 12-6,
38,1988,1988-11-27,13,25.032,ATL,,TAM,W 17-10,
39,1988,1988-12-04,14,25.039,ATL,,SFO,L 3-13,
40,1988,1988-12-11,15,25.046,ATL,@,RAM,L 7-22,
41,1988,1988-12-18,16,25.053,ATL,@,NOR,L 9-10,
42,1989,1989-09-10,1,25.319,ATL,,RAM,L 21-31,
43,1989,1989-09-17,2,25.326,ATL,,DAL,W 27-21,
44,1989,1989-09-24,3,25.333,ATL,@,IND,L 9-13,1.0
45,1989,1989-10-01,4,25.340,ATL,@,GNB,L 21-23,
46,1989,1989-10-08,5,25.347,ATL,@,RAM,L 14-26,
47,1989,1989-10-15,6,25.354,ATL,,NWE,W 16-15,
48,1989,1989-10-22,7,25.361,ATL,@,PHO,L 20-34,1.0
49,1989,1989-10-29,8,26.003,ATL,@,NOR,L 13-20,
