ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,def_int,def_int_yds,def_int_td
1,1977,1977-09-19,1,21.348,PIT,,SFO,W 27-0,,,,,,,,,,,,,,,,,,,,,,,
2,1977,1977-09-25,2,21.354,PIT,,OAK,L 7-16,,,,,,,,,,,,,,,,,,,,,,,
3,1977,1977-10-02,3,21.361,PIT,@,CLE,W 28-14,,,,,,,,,,,,,,,,,,,,,,,
4,1977,1977-10-09,4,22.003,PIT,@,HOU,L 10-27,,3,8,37.50,43,0,2,16.1,0,0,5.38,-5.88,3,8,2.67,0,0,0,,0,1,1,0
5,1977,1977-10-17,5,22.011,PIT,,CIN,W 20-14,,,,,,,,,,,,,,,,,,,,,,,
6,1977,1977-10-23,6,22.017,PIT,,HOU,W 27-10,,,,,,,,,,,,,,,,,,,,,,,
7,1977,1977-10-30,7,22.024,PIT,@,BAL,L 21-31,,,,,,,,,,,,,,,,,,,,,,,
8,1977,1977-11-06,8,22.031,PIT,@,DEN,L 7-21,,,,,,,,,,,,,,,,,,,,,,,
9,1977,1977-11-13,9,22.038,PIT,,CLE,W 35-31,,,,,,,,,,,,,,,,,,,,,,,
10,1977,1977-11-20,10,22.045,PIT,,DAL,W 28-13,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,7,0
11,1977,1977-11-27,11,22.052,PIT,@,NYJ,W 23-20,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,29,0
12,1977,1977-12-04,12,22.059,PIT,,SEA,W 30-20,,,,,,,,,,,,,,,,,,,,,,,
13,1977,1977-12-10,13,22.065,PIT,@,CIN,L 10-17,,,,,,,,,,,,,,,,,,,,,,,
14,1977,1977-12-18,14,22.073,PIT,@,SDG,W 10-9,,,,,,,,,,,,,,,,,,,,,,,
15,1978,1978-09-03,1,22.332,PIT,@,BUF,W 28-17,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,0,0
16,1978,1978-09-10,2,22.339,PIT,,SEA,W 21-10,,,,,,,,,,,,,,,,,,,,,,,
17,1978,1978-09-17,3,22.346,PIT,@,CIN,W 28-3,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,17,0
18,1978,1978-09-24,4,22.353,PIT,,CLE,W 15-9,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,65,0
19,1978,1978-10-01,5,22.360,PIT,@,NYJ,W 28-17,,,,,,,,,,,,,,,,,,,,,,,
20,1978,1978-10-08,6,23.002,PIT,,ATL,W 31-7,,,,,,,,,,,,,,,,,,,,,,,
21,1978,1978-10-15,7,23.009,PIT,@,CLE,W 34-14,,,,,,,,,,,,,,,,,,,,,,,
22,1978,1978-10-23,8,23.017,PIT,,HOU,L 17-24,,,,,,,,,,,,,,,,,,,,,,,
23,1978,1978-10-29,9,23.023,PIT,,KAN,W 27-24,,,,,,,,,,,,,,,,,,,,,,,
24,1978,1978-11-05,10,23.030,PIT,,NOR,W 20-14,,,,,,,,,,,,,,,,,,,,,,,
25,1978,1978-11-12,11,23.037,PIT,@,RAM,L 7-10,,,,,,,,,,,,,,,,,,,,,,,
26,1978,1978-11-19,12,23.044,PIT,,CIN,W 7-6,,,,,,,,,,,,,,,,,,,,,,,
27,1978,1978-11-27,13,23.052,PIT,@,SFO,W 24-7,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,13,0
28,1978,1978-12-03,14,23.058,PIT,@,HOU,W 13-3,,,,,,,,,,,,,,,,,,,,,,,
29,1978,1978-12-09,15,23.064,PIT,,BAL,W 35-13,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,0,0
30,1978,1978-12-16,16,23.071,PIT,@,DEN,W 21-17,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,0,0
31,1979,1979-09-02,1,23.331,SFO,@,MIN,L 22-28,,,,,,,,,,,,,,,,,,,,,,,
32,1979,1979-09-09,2,23.338,SFO,,DAL,L 13-21,,0,0,,0,0,0,,0,0,,,0,0,,0,1,11,11.00,0,0,0,0
33,1979,1979-09-16,3,23.345,SFO,@,RAM,L 24-27,,,,,,,,,,,,,,,,,,,,,,,
34,1979,1979-09-23,4,23.352,SFO,,NOR,L 21-30,,,,,,,,,,,,,,,,,,,,,,,
35,1979,1979-10-07,6,24.001,SFO,,SEA,L 24-35,,,,,,,,,,,,,,,,,,,,,,,
36,1979,1979-10-14,7,24.008,SFO,@,NYG,L 16-32,,0,0,,0,0,0,,0,0,,,0,0,,0,1,0,0.00,0,0,0,0
37,1979,1979-10-21,8,24.015,SFO,,ATL,W 20-15,,0,0,,0,0,0,,0,0,,,0,0,,0,1,10,10.00,0,0,0,0
38,1979,1979-10-28,9,24.022,SFO,,CHI,L 27-28,,,,,,,,,,,,,,,,,,,,,,,
39,1979,1979-11-04,10,24.029,SFO,@,OAK,L 10-23,,0,0,,0,0,0,,0,0,,,0,0,,0,2,5,2.50,0,0,0,0
40,1979,1979-11-11,11,24.036,SFO,@,NOR,L 20-31,,,,,,,,,,,,,,,,,,,,,,,
41,1979,1979-11-18,12,24.043,SFO,,DEN,L 28-38,,0,0,,0,0,0,,0,0,,,0,0,,0,2,20,10.00,0,0,0,0
42,1979,1979-11-25,13,24.050,SFO,,RAM,L 20-26,,,,,,,,,,,,,,,,,,,,,,,
43,1979,1979-12-02,14,24.057,SFO,@,STL,L 10-13,,,,,,,,,,,,,,,,,,,,,,,
44,1979,1979-12-09,15,24.064,SFO,,TAM,W 23-7,,,,,,,,,,,,,,,,,,,,,,,
45,1979,1979-12-16,16,24.071,SFO,@,ATL,L 21-31,,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,6.00,0,0,0,0
