ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td
1,1997,1997-09-21,4,23.272,ATL,@,SFO,L 7-34,,3,5,60.00,17,0,0,66.2,0,0,3.40,3.40,1,1,1.00,0
2,1997,1997-10-26,8,23.307,ATL,@,CAR,L 12-21,*,4,18,22.22,24,0,2,0.0,1,7,1.33,-3.67,2,18,9.00,0
3,1997,1997-11-23,12,23.335,ATL,,NOR,W 20-3,,0,0,,0,0,0,,0,,,,0,0,,0
4,1998,1998-10-25,7,24.306,ATL,@,NYJ,L 3-28,,7,14,50.00,86,0,1,39.6,2,15,6.14,2.93,1,12,12.00,0
5,1998,1998-11-08,9,24.320,ATL,@,NWE,W 41-10,,1,1,100.00,11,0,0,112.5,0,0,11.00,11.00,0,0,,0
6,1998,1998-11-29,12,24.341,ATL,@,STL,W 21-10,*,8,18,44.44,102,0,1,39.6,0,0,5.67,3.17,2,10,5.00,0
7,1998,1998-12-27,16,25.004,ATL,,MIA,W 38-16,,0,0,,0,0,0,,0,0,,,1,-1,-1.00,0
8,1999,1999-09-12,1,25.263,ATL,,MIN,L 14-17,,1,1,100.00,32,0,0,118.7,0,0,32.00,32.00,0,0,,0
9,1999,1999-09-20,2,25.271,ATL,@,DAL,L 7-24,*,7,16,43.75,90,0,1,35.9,1,0,5.63,2.81,1,0,0.00,0
10,1999,1999-09-26,3,25.277,ATL,@,STL,L 7-35,,14,22,63.64,152,1,0,99.1,1,11,6.91,7.82,1,9,9.00,0
11,1999,1999-10-03,4,25.284,ATL,,BAL,L 13-19,*,9,13,69.23,73,0,0,83.2,1,5,5.62,5.62,0,0,,0
12,1999,1999-10-10,5,25.291,ATL,@,NOR,W 20-17,*,11,20,55.00,162,1,0,98.3,3,15,8.10,9.10,2,14,7.00,0
13,1999,1999-10-17,6,25.298,ATL,,STL,L 13-41,,10,18,55.56,126,0,1,54.4,2,9,7.00,4.50,0,0,,0
14,1999,1999-11-07,9,25.319,ATL,,JAX,L 7-30,,3,5,60.00,40,0,1,45.8,1,9,8.00,-1.00,0,0,,0
15,1999,1999-12-05,12,25.347,ATL,,NOR,W 35-12,,0,0,,0,0,0,,0,,,,2,-2,-1.00,0
16,1999,1999-12-12,13,25.354,ATL,@,SFO,L 7-26,,1,9,11.11,11,0,0,39.6,2,18,1.22,1.22,0,0,,0
17,1999,1999-12-19,14,25.361,ATL,@,TEN,L 17-30,,6,14,42.86,73,0,1,29.8,1,11,5.21,2.00,1,-9,-9.00,0
18,1999,1999-12-26,15,26.003,ATL,,ARI,W 37-14,,0,0,,0,0,0,,0,,,,2,-1,-0.50,0
