ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result
1,1991,1991-09-01,1,22.313,DAL,@,CLE,W 26-14
2,1991,1991-11-10,10,23.018,DAL,@,HOU,L 23-26
3,1991,1991-11-17,11,23.025,DAL,@,NYG,L 9-22
4,1991,1991-11-24,12,23.032,DAL,@,WAS,W 24-21
5,1991,1991-11-28,13,23.036,DAL,,PIT,W 20-10
6,1991,1991-12-08,14,23.046,DAL,,NOR,W 23-14
7,1991,1991-12-15,15,23.053,DAL,@,PHI,W 25-13
8,1991,1991-12-22,16,23.060,DAL,,ATL,W 31-27
9,1992,1992-10-05,4,23.348,DAL,@,PHI,L 7-31
10,1992,1992-10-11,5,23.354,DAL,,SEA,W 27-0
11,1992,1992-10-18,6,23.361,DAL,,KAN,W 17-10
12,1992,1992-10-25,7,24.002,DAL,@,RAI,W 28-13
13,1992,1992-11-01,8,24.009,DAL,,PHI,W 20-10
