ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks,tackles_solo,tackles_assists
1,2013,2013-09-15,2,22.129,SDG,@,PHI,W 33-30,,,,,,,,
2,2013,2013-09-29,4,22.143,SDG,,DAL,W 30-21,,,,,,,,
3,2013,2013-10-14,6,22.158,SDG,,IND,W 19-9,*,0,0,,0,0.0,2,0
4,2013,2013-10-20,7,22.164,SDG,@,JAX,W 24-6,*,0,0,,0,0.0,2,0
5,2013,2013-11-03,8,22.178,SDG,@,WAS,L 24-30,,0,0,,0,0.0,0,1
6,2013,2013-11-10,9,22.185,SDG,,DEN,L 20-28,,0,0,,0,1.0,1,1
7,2013,2013-11-17,10,22.192,SDG,@,MIA,L 16-20,*,0,0,,0,0.0,1,0
8,2013,2013-11-24,11,22.199,SDG,@,KAN,W 41-38,*,0,0,,0,0.0,1,0
9,2013,2013-12-01,12,22.206,SDG,,CIN,L 10-17,*,0,0,,0,0.0,2,0
10,2013,2013-12-08,13,22.213,SDG,,NYG,W 37-14,*,,,,,,,
11,2013,2013-12-12,14,22.217,SDG,@,DEN,W 27-20,,,,,,,,
12,2013,2013-12-22,15,22.227,SDG,,OAK,W 26-13,,0,0,,0,0.0,0,0
13,2013,2013-12-29,16,22.234,SDG,,KAN,W 27-24,,,,,,,,
14,2014,2014-09-14,2,23.128,SDG,,SEA,W 30-21,,0,0,,0,0.0,1,0
15,2014,2014-09-21,3,23.135,SDG,@,BUF,W 22-10,,0,0,,0,0.0,1,0
16,2014,2014-09-28,4,23.142,SDG,,JAX,W 33-14,,0,0,,0,0.0,2,1
17,2014,2014-10-05,5,23.149,SDG,,NYJ,W 31-0,,0,0,,0,0.0,3,0
18,2014,2014-10-12,6,23.156,SDG,@,OAK,W 31-28,,0,0,,0,0.0,0,1
19,2014,2014-10-19,7,23.163,SDG,,KAN,L 20-23,,0,0,,0,0.0,3,0
20,2014,2014-10-23,8,23.167,SDG,@,DEN,L 21-35,,0,0,,0,0.0,1,0
21,2014,2014-11-02,9,23.177,SDG,@,MIA,L 0-37,,0,0,,0,0.0,1,1
22,2014,2014-11-16,10,23.191,SDG,,OAK,W 13-6,,,,,,,,
23,2014,2014-11-23,11,23.198,SDG,,STL,W 27-24,,0,0,,0,0.0,2,0
24,2014,2014-11-30,12,23.205,SDG,@,BAL,W 34-33,,,,,,,,
25,2014,2014-12-07,13,23.212,SDG,,NWE,L 14-23,,0,0,,0,0.0,0,0
26,2014,2014-12-14,14,23.219,SDG,,DEN,L 10-22,,0,0,,0,0.0,1,0
27,2014,2014-12-20,15,23.225,SDG,@,SFO,W 38-35,,0,0,,0,0.0,2,0
28,2014,2014-12-28,16,23.233,SDG,@,KAN,L 7-19,,1,13,13.00,0,0.0,1,0
29,2015,2015-11-22,10,24.197,SDG,,KAN,L 3-33,,0,0,,0,0.0,0,0
30,2015,2015-11-29,11,24.204,SDG,@,JAX,W 31-25,,0,0,,0,0.0,0,0
31,2015,2015-12-24,15,24.229,SDG,@,OAK,L 20-23,,0,0,,0,0.0,0,0
32,2016,2016-09-11,1,25.125,SDG,@,KAN,L 27-33,,0,0,,0,0.0,0,0
33,2016,2016-09-18,2,25.132,SDG,,JAX,W 38-14,,0,0,,0,0.0,0,0
34,2016,2016-09-25,3,25.139,SDG,@,IND,L 22-26,,0,0,,0,0.0,0,1
35,2016,2016-10-02,4,25.146,SDG,,NOR,L 34-35,,0,0,,0,0.0,0,0
36,2016,2016-10-09,5,25.153,SDG,@,OAK,L 31-34,,0,0,,0,0.0,0,0
37,2016,2016-10-13,6,25.157,SDG,,DEN,W 21-13,,0,0,,0,1.0,1,0
38,2016,2016-10-23,7,25.167,SDG,@,ATL,W 33-30,,0,0,,0,0.0,0,0
39,2016,2016-10-30,8,25.174,SDG,@,DEN,L 19-27,,0,0,,0,0.0,0,0
40,2016,2016-11-06,9,25.181,SDG,,TEN,W 43-35,,0,0,,0,0.0,1,0
41,2016,2016-11-13,10,25.188,SDG,,MIA,L 24-31,,0,0,,0,0.0,1,2
42,2016,2016-11-27,11,25.202,SDG,@,HOU,W 21-13,,0,0,,0,0.0,0,0
43,2016,2016-12-04,12,25.209,SDG,,TAM,L 21-28,,0,0,,0,0.0,0,0
44,2016,2016-12-11,13,25.216,SDG,@,CAR,L 16-28,,0,0,,0,0.0,0,0
45,2016,2016-12-18,14,25.223,SDG,,OAK,L 16-19,,0,0,,0,0.0,0,0
46,2016,2016-12-24,15,25.229,SDG,@,CLE,L 17-20,,0,0,,0,0.0,4,3
47,2016,2017-01-01,16,25.237,SDG,,KAN,L 27-37,,0,0,,0,0.0,0,0
