ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,sacks,tackles_solo,tackles_assists
1,2012,2012-09-09,1,23.275,ATL,@,KAN,W 40-24,,,,
2,2012,2012-09-23,3,23.289,ATL,@,SDG,W 27-3,,,,
3,2012,2012-10-14,6,23.310,ATL,,OAK,W 23-20,,,,
4,2012,2012-10-28,7,23.324,ATL,@,PHI,W 30-17,*,,,
5,2012,2012-11-25,11,23.352,ATL,@,TAM,W 24-23,,,,
6,2012,2012-11-29,12,23.356,ATL,,NOR,W 23-13,,0.0,1,0
7,2012,2012-12-16,14,24.007,ATL,,NYG,W 34-0,,,,
8,2012,2012-12-22,15,24.013,ATL,@,DET,W 31-18,,0.0,1,0
9,2013,2013-10-07,5,24.302,ATL,,NYJ,L 28-30,,,,
10,2013,2013-11-10,9,24.336,ATL,,SEA,L 10-33,,0.0,1,0
11,2013,2013-11-17,10,24.343,ATL,@,TAM,L 28-41,,0.0,1,0
12,2013,2013-11-21,11,24.347,ATL,,NOR,L 13-17,,,,
13,2013,2013-12-29,16,25.020,ATL,,CAR,L 20-21,,,,
14,2014,2014-11-23,11,25.349,SEA,,ARI,W 19-3,,0.0,0,1
