ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2008,2008-09-07,1,23.085,PHI,,STL,W 38-3,,,,,,,
2,2008,2008-09-15,2,23.093,PHI,@,DAL,L 37-41,,,,,,,
3,2008,2008-09-21,3,23.099,PHI,,PIT,W 15-6,,,,,,,
4,2008,2008-09-28,4,23.106,PHI,@,CHI,L 20-24,,0.0,1,0,0,0,0
5,2008,2008-10-05,5,23.113,PHI,,WAS,L 17-23,,0.0,1,0,0,0,0
6,2008,2008-10-12,6,23.120,PHI,@,SFO,W 40-26,,0.0,2,0,0,0,0
7,2008,2008-10-26,7,23.134,PHI,,ATL,W 27-14,,0.0,1,0,0,0,0
8,2008,2008-11-02,8,23.141,PHI,@,SEA,W 26-7,,,,,,,
9,2008,2008-11-09,9,23.148,PHI,,NYG,L 31-36,,0.0,2,0,0,0,0
10,2008,2008-11-16,10,23.155,PHI,@,CIN,T 13-13,,0.0,0,1,0,0,0
11,2008,2008-11-23,11,23.162,PHI,@,BAL,L 7-36,,0.0,1,0,0,0,0
12,2008,2008-11-27,12,23.166,PHI,,ARI,W 48-20,,,,,,,
13,2008,2008-12-07,13,23.176,PHI,@,NYG,W 20-14,,,,,,,
14,2008,2008-12-15,14,23.184,PHI,,CLE,W 30-10,,0.0,1,0,0,0,0
15,2008,2008-12-21,15,23.190,PHI,@,WAS,L 3-10,,0.0,2,0,0,0,0
16,2008,2008-12-28,16,23.197,PHI,,DAL,W 44-6,,0.0,0,0,0,0,0
17,2009,2009-09-13,1,24.091,PHI,@,CAR,W 38-10,,0.0,1,0,0,0,0
18,2009,2009-09-20,2,24.098,PHI,,NOR,L 22-48,,,,,,,
19,2009,2009-09-27,3,24.105,PHI,,KAN,W 34-14,,0.0,0,1,0,0,0
20,2009,2009-10-18,5,24.126,PHI,@,OAK,L 9-13,,0.0,2,1,0,0,0
21,2009,2009-10-26,6,24.134,PHI,@,WAS,W 27-17,,0.0,0,2,0,0,0
22,2009,2009-11-01,7,24.140,PHI,,NYG,W 40-17,,,,,,,
23,2009,2009-11-08,8,24.147,PHI,,DAL,L 16-20,,,,,,,
24,2009,2009-11-15,9,24.154,PHI,@,SDG,L 23-31,,0.0,1,0,0,0,0
25,2009,2009-11-22,10,24.161,PHI,@,CHI,W 24-20,,,,,,,
26,2009,2009-11-29,11,24.168,PHI,,WAS,W 27-24,,,,,,,
27,2009,2009-12-06,12,24.175,PHI,@,ATL,W 34-7,,0.0,2,0,0,0,0
28,2010,2010-09-12,1,25.090,PHI,,GNB,L 20-27,,,,,,,
29,2010,2010-09-19,2,25.097,PHI,@,DET,W 35-32,*,,,,,,
30,2010,2010-09-26,3,25.104,PHI,@,JAX,W 28-3,,2.0,6,0,0,0,0
31,2010,2010-10-03,4,25.111,PHI,,WAS,L 12-17,,,,,,,
32,2010,2010-10-10,5,25.118,PHI,@,SFO,W 27-24,,0.0,0,0,0,0,0
33,2010,2010-10-17,6,25.125,PHI,,ATL,W 31-17,,0.0,0,0,0,0,0
34,2010,2010-10-24,7,25.132,PHI,@,TEN,L 19-37,,0.0,0,1,0,0,0
35,2010,2010-11-07,8,25.146,PHI,,IND,W 26-24,,0.0,1,0,0,0,0
36,2010,2010-11-15,9,25.154,PHI,@,WAS,W 59-28,,1.0,1,0,0,0,0
37,2010,2010-11-21,10,25.160,PHI,,NYG,W 27-17,,0.0,3,0,0,0,0
38,2010,2010-11-28,11,25.167,PHI,@,CHI,L 26-31,,0.0,0,1,0,0,0
39,2010,2010-12-02,12,25.171,PHI,,HOU,W 34-24,,0.0,1,0,1,13,0
40,2010,2010-12-12,13,25.181,PHI,@,DAL,W 30-27,,0.0,0,0,0,0,0
41,2010,2010-12-19,14,25.188,PHI,@,NYG,W 38-31,,1.0,1,0,0,0,0
42,2010,2010-12-28,15,25.197,PHI,,MIN,L 14-24,,,,,,,
43,2011,2011-09-11,1,26.089,PHI,@,STL,W 31-13,,0.0,1,0,0,0,0
44,2011,2011-09-18,2,26.096,PHI,@,ATL,L 31-35,,,,,,,
45,2011,2011-09-25,3,26.103,PHI,,NYG,L 16-29,,0.0,2,1,0,0,0
46,2011,2011-10-02,4,26.110,PHI,,SFO,L 23-24,,0.0,3,0,0,0,0
47,2011,2011-10-09,5,26.117,PHI,@,BUF,L 24-31,,0.0,1,1,0,0,0
48,2011,2011-10-16,6,26.124,PHI,@,WAS,W 20-13,,0.0,0,1,0,0,0
49,2011,2011-10-30,7,26.138,PHI,,DAL,W 34-7,,1.0,1,0,0,0,0
50,2011,2011-11-07,8,26.146,PHI,,CHI,L 24-30,,0.0,0,1,0,0,0
51,2011,2011-11-13,9,26.152,PHI,,ARI,L 17-21,,0.0,2,0,0,0,0
52,2011,2011-11-20,10,26.159,PHI,@,NYG,W 17-10,,0.0,2,1,0,0,0
53,2011,2011-11-27,11,26.166,PHI,,NWE,L 20-38,,0.0,0,0,0,0,0
54,2011,2011-12-01,12,26.170,PHI,@,SEA,L 14-31,,0.0,1,0,0,0,0
55,2011,2011-12-11,13,26.180,PHI,@,MIA,W 26-10,,0.0,1,0,0,0,0
56,2011,2012-01-01,16,26.201,PHI,,WAS,W 34-10,*,0.0,1,0,0,0,0
