ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,sacks,tackles_solo,tackles_assists
1,2017,2017-09-17,2,22.286,NOR,,NWE,L 20-36,,0.0,1,2
2,2017,2017-09-24,3,22.293,NOR,@,CAR,W 34-13,,1.0,1,1
3,2017,2017-10-01,4,22.300,NOR,@,MIA,W 20-0,,0.0,0,0
4,2017,2017-10-15,5,22.314,NOR,,DET,W 52-38,,0.0,0,0
5,2017,2017-10-22,6,22.321,NOR,@,GNB,W 26-17,,0.0,1,0
6,2017,2017-10-29,7,22.328,NOR,,CHI,W 20-12,,1.0,1,1
7,2017,2017-11-05,8,22.335,NOR,,TAM,W 30-10,,0.0,0,1
8,2017,2017-11-12,9,22.342,NOR,@,BUF,W 47-10,,0.0,1,0
9,2017,2017-11-19,10,22.349,NOR,,WAS,W 34-31,,0.0,1,0
10,2017,2017-11-26,11,22.356,NOR,@,LAR,L 20-26,,0.0,0,0
11,2017,2017-12-03,12,22.363,NOR,,CAR,W 31-21,,0.0,0,1
12,2017,2017-12-07,13,23.002,NOR,@,ATL,L 17-20,,0.0,1,0
13,2018,2018-09-09,1,23.278,NOR,,TAM,L 40-48,,0.0,0,0
