ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2003,2003-09-07,1,22.141,PIT,,BAL,W 34-15,,,,,,,,,
2,2003,2003-09-14,2,22.148,PIT,@,KAN,L 20-41,,,,,,,,,
3,2003,2003-09-21,3,22.155,PIT,@,CIN,W 17-10,,,,,,,,,
4,2003,2003-09-28,4,22.162,PIT,,TEN,L 13-30,,,,,,,,,
5,2003,2003-10-05,5,22.169,PIT,,CLE,L 13-33,,,,,,,,,
6,2003,2003-10-12,6,22.176,PIT,@,DEN,L 14-17,,,,,,,,,
7,2003,2003-10-26,7,22.190,PIT,,STL,L 21-33,,,,,,,,,
8,2003,2003-11-02,8,22.197,PIT,@,SEA,L 16-23,,,,,,,,,
9,2003,2003-11-09,9,22.204,PIT,,ARI,W 28-15,,,,,,,,,
10,2003,2003-11-17,10,22.212,PIT,@,SFO,L 14-30,,,,,,,,,
11,2003,2003-11-23,11,22.218,PIT,@,CLE,W 13-6,,,,,,,,,
12,2003,2003-11-30,12,22.225,PIT,,CIN,L 20-24,,0,0,1.0,,,0,0,0
13,2003,2003-12-07,13,22.232,PIT,,OAK,W 27-7,,,,,,,,,
14,2003,2003-12-14,14,22.239,PIT,@,NYJ,L 0-6,,,,,,,,,
15,2003,2003-12-21,15,22.246,PIT,,SDG,W 40-24,,0,0,1.0,,,0,0,0
16,2003,2003-12-28,16,22.253,PIT,@,BAL,L 10-13,,,,,,,,,
17,2004,2004-09-12,1,23.146,PIT,,OAK,W 24-21,*,,,,,,,,
18,2004,2004-09-19,2,23.153,PIT,@,BAL,L 13-30,*,,,,,,,,
19,2004,2004-09-26,3,23.160,PIT,@,MIA,W 13-3,*,0,0,0.0,,,1,10,0
20,2004,2004-10-03,4,23.167,PIT,,CIN,W 28-17,*,1,6,0.0,,,1,26,1
21,2004,2004-10-10,5,23.174,PIT,,CLE,W 34-23,*,,,,,,,,
22,2004,2004-10-17,6,23.181,PIT,@,DAL,W 24-20,*,,,,,,,,
23,2004,2004-10-31,7,23.195,PIT,,NWE,W 34-20,*,,,,,,,,
24,2004,2004-11-07,8,23.202,PIT,,PHI,W 27-3,*,,,,,,,,
25,2004,2004-11-14,9,23.209,PIT,@,CLE,W 24-10,*,0,0,0.0,,,2,0,0
26,2004,2004-11-21,10,23.216,PIT,@,CIN,W 19-14,*,,,,,,,,
27,2004,2004-11-28,11,23.223,PIT,,WAS,W 16-7,*,,,,,,,,
28,2004,2004-12-05,12,23.230,PIT,@,JAX,W 17-16,*,,,,,,,,
29,2004,2004-12-12,13,23.237,PIT,,NYJ,W 17-6,*,0,0,0.0,,,1,22,0
30,2004,2004-12-18,14,23.243,PIT,@,NYG,W 33-30,*,,,,,,,,
31,2004,2004-12-26,15,23.251,PIT,,BAL,W 20-7,*,,,,,,,,
32,2004,2005-01-02,16,23.258,PIT,@,BUF,W 29-24,*,0,0,1.0,,,0,0,0
33,2005,2005-09-11,1,24.145,PIT,,TEN,W 34-7,*,0,0,0.0,,,1,6,0
34,2005,2005-09-18,2,24.152,PIT,@,HOU,W 27-7,*,0,0,3.0,,,0,0,0
35,2005,2005-09-25,3,24.159,PIT,,NWE,L 20-23,*,,,,,,,,
36,2005,2005-10-10,4,24.174,PIT,@,SDG,W 24-22,*,,,,,,,,
37,2005,2005-10-16,5,24.180,PIT,,JAX,L 17-23,*,,,,,,,,
38,2005,2005-10-23,6,24.187,PIT,@,CIN,W 27-13,*,,,,,,,,
39,2005,2005-10-31,7,24.195,PIT,,BAL,W 20-19,*,,,,,,,,
40,2005,2005-11-06,8,24.201,PIT,@,GNB,W 20-10,*,,,,,,,,
41,2005,2005-11-13,9,24.208,PIT,,CLE,W 34-21,*,,,,,,,,
42,2005,2005-11-20,10,24.215,PIT,@,BAL,L 13-16,*,,,,,,,,
43,2005,2005-11-28,11,24.223,PIT,@,IND,L 7-26,*,0,0,0.0,,,1,36,0
