ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2007,2007-12-02,12,23.232,KAN,,SDG,L 10-24,,2,6,33.33,41,0,1,18.7,1,9,6.83,-0.67,0,0,,0,0,0,0,,0,0.0%,,0,0,0.0,,
2,2008,2008-09-14,2,24.153,KAN,,OAK,L 8-23,,14,33,42.42,151,1,1,54.0,3,29,4.58,3.82,1,6,6.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
3,2008,2008-09-21,3,24.160,KAN,@,ATL,L 14-38,*,14,36,38.89,128,1,3,23.8,2,11,3.56,0.36,1,18,18.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
4,2008,2008-10-05,5,24.174,KAN,@,CAR,L 0-34,,5,10,50.00,37,0,0,59.2,1,15,3.70,3.70,4,16,4.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
5,2008,2008-10-19,6,24.188,KAN,,TEN,L 10-34,,5,11,45.45,76,0,0,68.7,1,6,6.91,6.91,3,21,7.00,1,0,0,0,,0,0.0%,,1,6,0.0,0,0
6,2008,2008-10-26,7,24.195,KAN,@,NYJ,L 24-28,*,25,36,69.44,280,2,0,110.9,4,30,7.78,8.89,4,20,5.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
7,2008,2008-11-02,8,24.202,KAN,,TAM,L 27-30,*,14,25,56.00,164,1,0,89.4,1,0,6.56,7.36,6,22,3.67,0,1,1,37,37.00,1,100.0%,37.00,1,6,0.0,0,0
8,2008,2008-11-09,9,24.209,KAN,@,SDG,L 19-20,*,27,41,65.85,266,3,0,108.4,1,3,6.49,7.95,2,26,13.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
9,2008,2008-11-16,10,24.216,KAN,,NOR,L 20-30,*,19,38,50.00,235,2,1,76.1,4,29,6.18,6.05,3,45,15.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
10,2008,2008-11-23,11,24.223,KAN,,BUF,L 31-54,*,17,31,54.84,240,3,2,85.4,3,13,7.74,6.77,3,29,9.67,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
11,2008,2008-11-30,12,24.230,KAN,@,OAK,W 20-13,*,15,22,68.18,162,0,1,70.6,1,6,7.36,5.32,11,48,4.36,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
12,2008,2008-12-07,13,24.237,KAN,@,DEN,L 17-24,*,17,32,53.13,187,1,0,81.1,1,10,5.84,6.47,6,34,5.67,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
13,2008,2008-12-14,14,24.244,KAN,,SDG,L 21-22,*,19,28,67.86,171,1,1,81.1,0,0,6.11,5.21,10,40,4.00,1,0,0,0,,0,0.0%,,1,6,0.0,0,0
14,2008,2008-12-21,15,24.251,KAN,,MIA,L 31-38,*,20,41,48.78,320,2,3,61.0,3,8,7.80,5.49,6,57,9.50,1,0,0,0,,0,0.0%,,1,6,0.0,1,0
15,2008,2008-12-28,16,24.258,KAN,@,CIN,L 6-16,*,19,36,52.78,191,1,0,77.4,1,2,5.31,5.86,2,4,2.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
16,2009,2009-09-13,1,25.152,KAN,@,BAL,L 24-38,,0,0,,0,0,0,,,,,,1,2,2.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
17,2009,2010-01-03,16,25.264,MIA,,PIT,L 24-30,,4,8,50.00,83,1,2,87.0,0,0,10.38,1.63,1,1,1.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
18,2010,2010-10-04,4,26.173,MIA,,NWE,L 14-41,,2,6,33.33,15,0,1,2.8,0,0,2.50,-5.00,1,12,12.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
19,2010,2010-11-14,9,26.214,MIA,,TEN,W 29-17,,4,6,66.67,64,1,0,141.7,0,0,10.67,14.00,2,5,2.50,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
20,2010,2010-11-18,10,26.218,MIA,,CHI,L 0-16,*,17,29,58.62,187,0,1,63.4,6,39,6.45,4.90,6,27,4.50,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
21,2010,2010-11-28,11,26.228,MIA,@,OAK,W 33-17,,0,0,,0,0,0,,0,,,,1,8,8.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
22,2010,2011-01-02,16,26.263,MIA,@,NWE,L 7-38,,10,21,47.62,169,1,0,91.2,2,11,8.05,9.00,3,21,7.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
23,2011,2011-09-11,1,27.150,BUF,@,KAN,W 41-7,,,,,,,,,,,,,,,,,,,,,,0.0%,,,,,,
24,2011,2011-11-20,10,27.220,BUF,@,MIA,L 8-35,,1,5,20.00,6,0,0,39.6,0,0,1.20,1.20,0,0,,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
25,2011,2011-12-11,13,27.241,BUF,@,SDG,L 10-37,,2,3,66.67,19,0,1,44.4,0,0,6.33,-8.67,1,8,8.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
26,2012,2012-09-16,2,28.155,BUF,,KAN,W 35-17,,0,0,,0,0,0,,0,0,,,1,-1,-1.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
27,2012,2012-09-30,4,28.169,BUF,,NWE,L 28-52,,,,,,,,,,,,,,,,,,,,,,0.0%,,,,,,
28,2012,2012-10-07,5,28.176,BUF,@,SFO,L 3-45,,,,,,,,,,,,,,,,,,,,,,0.0%,,,,,,
29,2012,2012-12-16,14,28.246,BUF,,SEA,L 17-50,,3,5,60.00,30,0,0,77.1,0,0,6.00,6.00,0,0,,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
