ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1979,1979-09-02,1,23.010,CIN,@,DEN,L 0-10,1,24,24.00,0,0,0,,0
2,1979,1979-09-09,2,23.017,CIN,@,BUF,L 24-51,3,50,16.67,0,2,0,0.00,0
3,1979,1979-09-16,3,23.024,CIN,,NWE,L 14-20,0,0,,0,2,10,5.00,0
4,1979,1979-09-23,4,23.031,CIN,,HOU,L 27-30,0,0,,0,6,78,13.00,0
5,1979,1979-09-30,5,23.038,CIN,@,DAL,L 13-38,0,0,,0,2,20,10.00,0
6,1979,1979-10-07,6,23.045,CIN,,KAN,L 7-10,0,0,,0,4,29,7.25,0
7,1979,1979-10-14,7,23.052,CIN,,PIT,W 34-10,0,0,,0,2,17,8.50,0
8,1979,1979-10-21,8,23.059,CIN,@,CLE,L 27-28,0,0,,0,2,27,13.50,0
9,1979,1979-10-28,9,23.066,CIN,,PHI,W 37-13,1,0,0.00,0,4,21,5.25,0
10,1979,1979-11-04,10,23.073,CIN,@,BAL,L 28-38,0,0,,0,2,-3,-1.50,0
11,1979,1979-11-11,11,23.080,CIN,,SDG,L 24-26,1,18,18.00,0,0,0,,0
12,1979,1979-11-18,12,23.087,CIN,@,HOU,L 21-42,,,,,,,,
13,1979,1979-11-25,13,23.094,CIN,,STL,W 34-28,,,,,,,,
14,1979,1979-12-02,14,23.101,CIN,@,PIT,L 17-37,,,,,,,,
15,1979,1979-12-09,15,23.108,CIN,@,WAS,L 14-28,0,0,,0,2,13,6.50,0
16,1979,1979-12-16,16,23.115,CIN,,CLE,W 16-12,0,0,,0,4,48,12.00,0
17,1980,1980-09-28,4,24.036,CHI,@,PIT,L 3-38,0,0,,0,1,-1,-1.00,0
18,1980,1980-10-06,5,24.044,CHI,,TAM,W 23-0,0,0,,0,3,15,5.00,0
