ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2003,2003-09-04,1,23.213,NYJ,@,WAS,L 13-16,,,,,,,
2,2003,2003-09-14,2,23.223,NYJ,,MIA,L 10-21,,,,,,,
3,2003,2003-09-21,3,23.230,NYJ,@,NWE,L 16-23,,,,,,,
4,2003,2003-09-28,4,23.237,NYJ,,DAL,L 6-17,,,,,,,
5,2003,2003-10-12,5,23.251,NYJ,,BUF,W 30-3,,,,,,,
6,2003,2003-10-19,6,23.258,NYJ,@,HOU,W 19-14,,1.0,,,0,0,0
7,2003,2003-10-26,7,23.265,NYJ,@,PHI,L 17-24,,,,,,,
8,2003,2003-11-02,8,23.272,NYJ,,NYG,L 28-31,*,,,,,,
9,2003,2003-11-09,9,23.279,NYJ,@,OAK,W 27-24,,,,,,,
10,2003,2003-11-16,10,23.286,NYJ,@,IND,L 31-38,,,,,,,
11,2003,2003-11-23,11,23.293,NYJ,,JAX,W 13-10,,,,,,,
12,2003,2003-12-01,12,23.301,NYJ,,TEN,W 24-17,,,,,,,
13,2003,2003-12-07,13,23.307,NYJ,@,BUF,L 6-17,,1.0,,,0,0,0
14,2003,2003-12-14,14,23.314,NYJ,,PIT,W 6-0,,,,,,,
15,2003,2003-12-20,15,23.320,NYJ,,NWE,L 16-21,,,,,,,
16,2003,2003-12-28,16,23.328,NYJ,@,MIA,L 21-23,,0.0,,,1,26,0
17,2004,2004-09-12,1,24.222,NYJ,,CIN,W 31-24,*,,,,,,
18,2004,2004-09-19,2,24.229,NYJ,@,SDG,W 34-28,*,,,,,,
19,2004,2004-10-03,3,24.243,NYJ,@,MIA,W 17-9,,0.0,,,1,2,0
20,2004,2004-10-10,4,24.250,NYJ,,BUF,W 16-14,*,,,,,,
21,2004,2004-10-17,5,24.257,NYJ,,SFO,W 22-14,*,,,,,,
22,2004,2004-10-24,6,24.264,NYJ,@,NWE,L 7-13,*,,,,,,
23,2004,2004-11-01,7,24.272,NYJ,,MIA,W 41-14,*,,,,,,
24,2004,2004-11-07,8,24.278,NYJ,@,BUF,L 17-22,*,,,,,,
25,2004,2004-11-14,9,24.285,NYJ,,BAL,L 17-20,*,,,,,,
26,2004,2004-11-21,10,24.292,NYJ,@,CLE,W 10-7,*,,,,,,
27,2004,2004-12-26,15,24.327,NYJ,,NWE,L 7-23,*,,,,,,
28,2004,2005-01-02,16,24.334,NYJ,@,STL,L 29-32,,,,,,,
29,2005,2005-09-11,1,25.220,NYJ,@,KAN,L 7-27,*,,,,,,
30,2005,2005-09-18,2,25.227,NYJ,,MIA,W 17-7,*,,,,,,
31,2005,2005-09-25,3,25.234,NYJ,,JAX,L 20-26,*,,,,,,
32,2005,2005-10-02,4,25.241,NYJ,@,BAL,L 3-13,*,,,,,,
33,2005,2005-10-09,5,25.248,NYJ,,TAM,W 14-12,*,,,,,,
34,2005,2005-10-16,6,25.255,NYJ,@,BUF,L 17-27,*,,,,,,
35,2005,2005-10-24,7,25.263,NYJ,@,ATL,L 14-27,*,,,,,,
36,2005,2005-11-06,8,25.276,NYJ,,SDG,L 26-31,*,,,,,,
37,2005,2005-11-13,9,25.283,NYJ,@,CAR,L 3-30,*,,,,,,
38,2005,2005-11-20,10,25.290,NYJ,@,DEN,L 0-27,*,1.0,,,0,0,0
39,2005,2005-11-27,11,25.297,NYJ,,NOR,L 19-21,*,,,,,,
40,2005,2005-12-04,12,25.304,NYJ,@,NWE,L 3-16,*,,,,,,
41,2005,2005-12-11,13,25.311,NYJ,,OAK,W 26-10,*,,,,,,
42,2005,2005-12-18,14,25.318,NYJ,@,MIA,L 20-24,*,,,,,,
43,2005,2005-12-26,15,25.326,NYJ,,NWE,L 21-31,*,,,,,,
44,2005,2006-01-01,16,25.332,NYJ,,BUF,W 30-26,*,,,,,,
45,2006,2006-09-10,1,26.219,NYJ,@,TEN,W 23-16,*,1.0,,,0,0,0
46,2006,2006-09-17,2,26.226,NYJ,,NWE,L 17-24,*,,,,,,
47,2006,2006-09-24,3,26.233,NYJ,@,BUF,W 28-20,*,1.0,,,0,0,0
48,2006,2006-10-01,4,26.240,NYJ,,IND,L 28-31,*,,,,,,
49,2006,2006-10-08,5,26.247,NYJ,@,JAX,L 0-41,*,,,,,,
50,2006,2006-10-15,6,26.254,NYJ,,MIA,W 20-17,*,0.0,,,1,9,0
51,2006,2006-10-22,7,26.261,NYJ,,DET,W 31-24,*,,,,,,
52,2006,2006-10-29,8,26.268,NYJ,@,CLE,L 13-20,*,,,,,,
53,2006,2006-11-12,9,26.282,NYJ,@,NWE,W 17-14,*,,,,,,
54,2006,2006-11-19,10,26.289,NYJ,,CHI,L 0-10,*,,,,,,
55,2006,2006-11-26,11,26.296,NYJ,,HOU,W 26-11,*,,,,,,
56,2006,2006-12-03,12,26.303,NYJ,@,GNB,W 38-10,*,,,,,,
57,2006,2006-12-10,13,26.310,NYJ,,BUF,L 13-31,*,2.0,,,0,0,0
58,2006,2006-12-17,14,26.317,NYJ,@,MIN,W 26-13,*,1.0,,,0,0,0
59,2006,2006-12-25,15,26.325,NYJ,@,MIA,W 13-10,*,1.0,,,0,0,0
