ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,all_td,scoring,def_int,def_int_yds,def_int_td
1,1983,1983-09-04,1,23.038,MIN,@,CLE,W 27-21,,,,,
2,1983,1983-09-08,2,23.042,MIN,,SFO,L 17-48,,,,,
3,1983,1983-09-18,3,23.052,MIN,@,TAM,W 19-16,,,,,
4,1983,1983-09-25,4,23.059,MIN,,DET,W 20-17,,,,,
5,1983,1983-10-02,5,23.066,MIN,,DAL,L 24-37,,,,,
6,1983,1983-10-09,6,23.073,MIN,@,CHI,W 23-14,,,,,
7,1983,1983-10-16,7,23.080,MIN,,HOU,W 34-14,,,,,
8,1983,1983-10-23,8,23.087,MIN,@,GNB,W 20-17,,,,,
9,1983,1983-10-30,9,23.094,MIN,@,STL,L 31-41,,,,,
10,1983,1983-11-06,10,23.101,MIN,,TAM,L 12-17,,,,,
11,1983,1983-11-13,11,23.108,MIN,,GNB,L 21-29,,,,,
12,1983,1983-11-20,12,23.115,MIN,@,PIT,W 17-14,,,,,
13,1983,1983-11-27,13,23.122,MIN,@,NOR,L 16-17,,,,,
14,1983,1983-12-05,14,23.130,MIN,@,DET,L 2-13,,,,,
15,1983,1983-12-11,15,23.136,MIN,,CHI,L 13-19,,,,,
16,1984,1984-09-02,1,24.036,MIN,,SDG,L 13-42,,,,,
17,1984,1984-09-09,2,24.043,MIN,@,PHI,L 17-19,,,,,
18,1984,1984-09-16,3,24.050,MIN,,ATL,W 27-20,,,,,
19,1984,1984-09-23,4,24.057,MIN,@,DET,W 29-28,,,,,
20,1984,1984-10-07,6,24.071,MIN,@,TAM,L 31-35,,,,,
21,1984,1984-10-14,7,24.078,MIN,@,RAI,L 20-23,,,,,
22,1984,1984-10-21,8,24.085,MIN,,DET,L 14-16,,,,,
23,1984,1984-10-28,9,24.092,MIN,@,CHI,L 7-16,,,,,
24,1984,1984-11-04,10,24.099,MIN,,TAM,W 27-24,,,,,
25,1984,1984-11-11,11,24.106,MIN,@,GNB,L 17-45,,,,,
26,1984,1984-11-18,12,24.113,MIN,@,DEN,L 21-42,,,,,
27,1984,1984-11-25,13,24.120,MIN,,CHI,L 3-34,,,,,
28,1984,1984-11-29,14,24.124,MIN,,WAS,L 17-31,,,,,
29,1984,1984-12-08,15,24.133,MIN,@,SFO,L 7-51,,,,,
30,1984,1984-12-16,16,24.141,MIN,,GNB,L 14-38,,,,,
31,1986,1986-09-07,1,26.041,MIN,,DET,L 10-13,,,,,
32,1986,1986-09-14,2,26.048,MIN,@,TAM,W 23-10,,,,,
33,1986,1986-09-21,3,26.055,MIN,,PIT,W 31-7,,,,,
34,1986,1986-09-28,4,26.062,MIN,,GNB,W 42-7,,,,,
35,1986,1986-10-05,5,26.069,MIN,@,CHI,L 0-23,,,,,
36,1986,1986-10-12,6,26.076,MIN,@,SFO,W 27-24,,,,,
37,1986,1986-10-19,7,26.083,MIN,,CHI,W 23-7,,,,,
38,1986,1986-10-26,8,26.090,MIN,,CLE,L 20-23,,,,,
39,1986,1986-11-02,9,26.097,MIN,@,WAS,L 38-44,,,,,
40,1986,1986-11-09,10,26.104,MIN,@,DET,W 24-10,,,,,
41,1986,1986-11-16,11,26.111,MIN,,NYG,L 20-22,,,,,
42,1986,1986-11-23,12,26.118,MIN,@,CIN,L 20-24,,,,,
43,1986,1986-11-30,13,26.125,MIN,,TAM,W 45-13,,,,,
44,1986,1986-12-07,14,26.132,MIN,@,GNB,W 32-6,,,,,
45,1986,1986-12-14,15,26.139,MIN,@,HOU,L 10-23,,,,,
46,1986,1986-12-21,16,26.146,MIN,,NOR,W 33-17,,,,,
47,1987,1987-09-13,1,27.047,MIN,,DET,W 34-19,,,,,
48,1987,1987-09-20,2,27.054,MIN,@,RAM,W 21-16,,,,,
49,1987,1987-10-26,6,27.090,MIN,,DEN,W 34-27,,,,,
50,1987,1987-11-01,7,27.096,MIN,@,SEA,L 17-28,,,,,
51,1987,1987-11-08,8,27.103,MIN,,RAI,W 31-20,,,,,
52,1987,1987-11-15,9,27.110,MIN,,TAM,W 23-17,,,,,
53,1987,1987-11-22,10,27.117,MIN,,ATL,W 24-13,,,,,
54,1987,1987-11-26,11,27.121,MIN,@,DAL,W 44-38,,,,,
55,1987,1987-12-06,12,27.131,MIN,,CHI,L 24-30,,,,,
56,1987,1987-12-13,13,27.138,MIN,@,GNB,L 10-16,,,,,
57,1987,1987-12-20,14,27.145,MIN,@,DET,W 17-14,,,,,
58,1987,1987-12-26,15,27.151,MIN,,WAS,L 24-27,,,,,
59,1988,1988-09-04,1,28.038,MIN,@,BUF,L 10-13,,,,,
60,1988,1988-09-11,2,28.045,MIN,,NWE,W 36-6,,,,,
61,1988,1988-09-18,3,28.052,MIN,@,CHI,W 31-7,,,,,
62,1988,1988-09-25,4,28.059,MIN,,PHI,W 23-21,,,,,
63,1988,1988-10-02,5,28.066,MIN,@,MIA,L 7-24,,,,,
64,1988,1988-10-09,6,28.073,MIN,,TAM,W 14-13,,,,,
65,1988,1988-10-16,7,28.080,MIN,,GNB,L 14-34,,,,,
66,1988,1988-10-23,8,28.087,MIN,@,TAM,W 49-20,,,,,
67,1988,1988-10-30,9,28.094,MIN,@,SFO,L 21-24,,,,,
