ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1975,1975-09-21,1,21.058,CHI,,BAL,L 7-35,8,0,0.00,0,1,-4,-4.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,,0
2,1975,1975-09-28,2,21.065,CHI,,PHI,W 15-13,21,95,4.52,0,6,36,6.00,0,0,1,0.00,0,0,1,0.0,0,0,0.00,-45.00,0,0,,0,0,0,0,0,,0
3,1975,1975-10-05,3,21.072,CHI,@,MIN,L 3-28,18,61,3.39,0,3,-14,-4.67,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,,0
4,1975,1975-10-12,4,21.079,CHI,@,DET,L 7-27,10,0,0.00,0,4,3,0.75,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,,0
5,1975,1975-10-27,6,21.094,CHI,,MIN,L 9-13,10,44,4.40,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,78,39.00,0,0,0,0,0,,0
6,1975,1975-11-02,7,21.100,CHI,,MIA,L 13-46,7,26,3.71,1,2,9,4.50,0,0,0,,0,0,0,,0,0,,,4,106,26.50,0,1,6,1,39,39.00,0
7,1975,1975-11-09,8,21.107,CHI,,GNB,W 27-14,14,49,3.50,1,1,19,19.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0,0,,0
8,1975,1975-11-16,9,21.114,CHI,@,SFO,L 3-31,23,105,4.57,0,3,11,3.67,0,0,0,,0,0,0,,0,0,,,5,138,27.60,0,0,0,0,0,,0
9,1975,1975-11-23,10,21.121,CHI,@,RAM,L 10-38,4,2,0.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,18,18.00,0,0,0,0,0,,0
10,1975,1975-11-30,11,21.128,CHI,@,GNB,L 7-28,12,40,3.33,1,2,45,22.50,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0,0,,0
11,1975,1975-12-07,12,21.135,CHI,,DET,W 25-21,27,65,2.41,2,2,14,7.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,12,0,0,,0
12,1975,1975-12-14,13,21.142,CHI,,STL,L 20-34,17,58,3.41,1,4,32,8.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0,0,,0
13,1975,1975-12-21,14,21.149,CHI,@,NOR,W 42-17,25,134,5.36,1,5,62,12.40,0,0,0,,0,0,0,,0,0,,,2,104,52.00,0,1,6,0,0,,0
14,1976,1976-09-12,1,22.049,CHI,,DET,W 10-3,25,70,2.80,0,1,17,17.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,,0
15,1976,1976-09-19,2,22.056,CHI,@,SFO,W 19-12,28,148,5.29,2,3,13,4.33,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,12,0,0,,0
16,1976,1976-09-26,3,22.063,CHI,,ATL,L 0-10,23,86,3.74,0,1,3,3.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,,0
17,1976,1976-10-03,4,22.070,CHI,,WAS,W 33-7,18,104,5.78,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0,0,,0
18,1976,1976-10-10,5,22.077,CHI,@,MIN,L 19-20,19,141,7.42,2,4,42,10.50,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,12,0,0,,0
19,1976,1976-10-17,6,22.084,CHI,@,RAM,L 12-20,27,145,5.37,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0,0,,0
20,1976,1976-10-24,7,22.091,CHI,@,DAL,L 21-31,17,41,2.41,1,1,24,24.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0,0,,0
21,1976,1976-10-31,8,22.098,CHI,,MIN,W 14-13,15,67,4.47,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0,0,,0
22,1976,1976-11-07,9,22.105,CHI,,OAK,L 27-28,36,97,2.69,3,1,4,4.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,18,0,0,,0
23,1976,1976-11-14,10,22.112,CHI,,GNB,W 24-13,18,109,6.06,1,1,-2,-2.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0,0,,0
24,1976,1976-11-21,11,22.119,CHI,@,DET,L 10-14,17,40,2.35,0,1,18,18.00,0,0,0,,0,0,0,,0,0,,,1,0,0.00,0,0,0,0,0,,0
25,1976,1976-11-28,12,22.126,CHI,@,GNB,W 16-10,27,110,4.07,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,,0
26,1976,1976-12-05,13,22.133,CHI,@,SEA,W 34-7,27,183,6.78,0,2,30,15.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,,0
27,1976,1976-12-12,14,22.140,CHI,,DEN,L 14-28,14,49,3.50,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0,0,,0
