ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1988,1988-09-04,1,23.037,PIT,,DAL,W 24-21,4,5,1.25,0,,0,0,,0,,,1,10,10.00,0,0,0
2,1988,1988-09-11,2,23.044,PIT,@,WAS,L 29-30,0,0,,0,,1,0,0.00,0,,,0,0,,0,0,0
3,1988,1988-09-18,3,23.051,PIT,,CIN,L 12-17,0,0,,0,,0,0,,0,,,0,0,,0,0,
4,1988,1988-09-25,4,23.058,PIT,@,BUF,L 28-36,8,35,4.38,0,,2,5,2.50,1,,,0,0,,0,1,6
5,1988,1988-10-02,5,23.065,PIT,,CLE,L 9-23,9,28,3.11,0,,1,6,6.00,0,,,0,0,,0,0,0
6,1988,1988-10-09,6,23.072,PIT,@,PHO,L 14-31,0,0,,0,,0,0,,0,,,0,0,,0,0,
7,1988,1988-10-23,8,23.086,PIT,,DEN,W 39-21,1,3,3.00,0,,0,0,,0,,,0,0,,0,0,0
8,1988,1988-10-30,9,23.093,PIT,@,NYJ,L 20-24,3,9,3.00,0,,0,0,,0,,,0,0,,0,0,0
9,1988,1988-11-06,10,23.100,PIT,@,CIN,L 7-42,10,44,4.40,0,,2,26,13.00,0,,,0,0,,0,0,0
10,1988,1988-11-13,11,23.107,PIT,,PHI,L 26-27,6,44,7.33,0,,1,3,3.00,0,,,0,0,,0,0,0
11,1988,1988-11-20,12,23.114,PIT,@,CLE,L 7-27,8,32,4.00,0,,1,1,1.00,0,,,0,0,,0,0,0
12,1988,1988-11-27,13,23.121,PIT,,KAN,W 16-10,10,42,4.20,0,,1,8,8.00,0,,,0,0,,0,0,0
13,1988,1988-12-04,14,23.128,PIT,@,HOU,W 37-34,5,10,2.00,0,,1,7,7.00,0,,,0,0,,0,0,0
14,1988,1988-12-11,15,23.135,PIT,@,SDG,L 14-20,7,40,5.71,0,,1,10,10.00,0,,,0,0,,0,0,0
15,1988,1988-12-18,16,23.142,PIT,,MIA,W 40-24,16,117,7.31,0,,0,0,,0,,,0,0,,0,0,0
16,1989,1989-09-24,3,24.057,PIT,,MIN,W 27-14,1,11,11.00,0,,1,16,16.00,0,,,0,0,,0,0,0
17,1989,1989-10-01,4,24.064,PIT,@,DET,W 23-3,12,47,3.92,0,,0,0,,0,,,0,0,,0,0,0
18,1989,1989-10-15,6,24.078,PIT,@,CLE,W 17-7,15,47,3.13,1,,1,8,8.00,0,,,0,0,,0,1,6
19,1989,1989-10-22,7,24.085,PIT,@,HOU,L 0-27,0,0,,0,,1,0,0.00,0,,,0,0,,0,0,0
20,1989,1989-10-29,8,24.092,PIT,,KAN,W 23-17,9,26,2.89,0,,3,24,8.00,0,,,0,0,,0,0,0
21,1990,1990-09-09,1,25.042,PIT,@,CLE,L 3-13,2,2,1.00,0,,0,0,,0,,,0,0,,0,0,0
22,1990,1990-09-16,2,25.049,PIT,,HOU,W 20-9,0,0,,0,,0,0,,0,,,,,,,0,
23,1990,1990-09-23,3,25.056,PIT,@,RAI,L 3-20,1,2,2.00,0,,0,0,,0,,,0,0,,0,0,0
24,1990,1990-09-30,4,25.063,PIT,,MIA,L 6-28,0,0,,0,,0,0,,0,,,,,,,0,
25,1990,1990-10-07,5,25.070,PIT,,SDG,W 36-14,9,37,4.11,1,,0,0,,0,,,0,0,,0,1,6
26,1990,1990-10-14,6,25.077,PIT,@,DEN,W 34-17,6,22,3.67,0,,3,34,11.33,0,,,0,0,,0,0,0
27,1990,1990-10-21,7,25.084,PIT,@,SFO,L 7-27,5,30,6.00,0,,0,0,,0,,,0,0,,0,0,0
28,1990,1990-10-29,8,25.092,PIT,,RAM,W 41-10,8,78,9.75,0,,0,0,,0,,,0,0,,0,0,0
29,1990,1990-11-04,9,25.098,PIT,,ATL,W 21-9,7,89,12.71,1,,1,3,3.00,0,,,0,0,,0,1,6
30,1990,1990-11-25,11,25.119,PIT,@,NYJ,W 24-7,6,31,5.17,0,,1,5,5.00,1,,,0,0,,0,1,6
31,1990,1990-12-09,13,25.133,PIT,,NWE,W 24-3,7,28,4.00,0,,0,0,,0,,,0,0,,0,0,0
32,1990,1990-12-16,14,25.140,PIT,@,NOR,W 9-6,0,0,,0,,0,0,,0,,,,,,,0,
33,1990,1990-12-23,15,25.147,PIT,,CLE,W 35-0,12,47,3.92,1,,0,0,,0,,,0,0,,0,1,6
34,1990,1990-12-30,16,25.154,PIT,@,HOU,L 14-34,5,23,4.60,0,,0,0,,0,,,0,0,,0,0,0
35,1991,1991-09-01,1,26.034,PIT,,SDG,W 26-20,0,0,,0,,0,0,,0,,,,,,,0,
36,1991,1991-09-08,2,26.041,PIT,@,BUF,L 34-52,4,-1,-0.25,1,,2,6,3.00,0,,,0,0,,0,1,6
37,1991,1991-09-15,3,26.048,PIT,,NWE,W 20-6,0,0,,0,,1,29,29.00,0,,,0,0,,0,0,0
38,1991,1991-09-22,4,26.055,PIT,@,PHI,L 14-23,0,0,,0,,0,0,,0,,,,,,,0,
39,1991,1991-10-06,5,26.069,PIT,@,IND,W 21-3,5,17,3.40,0,,1,5,5.00,0,,,0,0,,0,0,0
40,1991,1991-10-14,6,26.077,PIT,,NYG,L 20-23,0,0,,0,,0,0,,0,,,,,,,0,
41,1991,1991-10-20,7,26.083,PIT,,SEA,L 7-27,0,0,,0,,0,0,,0,,,,,,,0,
42,1991,1991-10-27,8,26.090,PIT,@,CLE,L 14-17,9,26,2.89,1,,0,0,,0,,,0,0,,0,1,6
43,1991,1991-11-03,9,26.097,PIT,@,DEN,L 13-20,11,63,5.73,0,,2,20,10.00,0,,,0,0,,0,0,0
44,1991,1991-11-10,10,26.104,PIT,@,CIN,W 33-27,4,9,2.25,0,,3,44,14.67,0,,,0,0,,0,0,0
45,1991,1991-11-17,11,26.111,PIT,,WAS,L 14-41,0,0,,0,,0,0,,0,,,,,,,0,
46,1991,1991-11-24,12,26.118,PIT,,HOU,W 26-14,5,15,3.00,1,,0,0,,0,,,0,0,,0,1,6
47,1991,1991-11-28,13,26.122,PIT,@,DAL,L 10-20,8,59,7.38,1,,4,33,8.25,0,,,0,0,,0,1,6
48,1991,1991-12-08,14,26.132,PIT,@,HOU,L 6-31,4,39,9.75,0,,0,0,,0,,,0,0,,0,0,0
49,1991,1991-12-15,15,26.139,PIT,,CIN,W 17-10,6,35,5.83,0,,2,2,1.00,0,,,0,0,,0,0,0
50,1991,1991-12-22,16,26.146,PIT,,CLE,W 17-10,1,0,0.00,0,,0,0,,0,,,0,0,,0,0,0
51,1992,1992-09-06,1,27.039,PIT,@,HOU,W 29-24,0,0,,0,1,1,44,44.00,0,100.0%,44.00,0,0,,0,0,0
52,1992,1992-09-13,2,27.046,PIT,,NYJ,W 27-10,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,
53,1992,1992-09-20,3,27.053,PIT,@,SDG,W 23-6,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,
54,1992,1992-09-27,4,27.060,PIT,@,GNB,L 3-17,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,
55,1992,1992-10-11,5,27.074,PIT,@,CLE,L 9-17,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,
56,1992,1992-10-19,6,27.082,PIT,,CIN,W 20-0,2,0,0.00,0,,0,0,,0,0.0%,,0,0,,0,0,0
57,1992,1992-10-25,7,27.088,PIT,@,KAN,W 27-3,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,
58,1992,1992-11-01,8,27.095,PIT,,HOU,W 21-20,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,
59,1992,1992-11-08,9,27.102,PIT,@,BUF,L 20-28,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,
60,1992,1992-11-15,10,27.109,PIT,,DET,W 17-14,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,
61,1992,1992-11-22,11,27.116,PIT,,IND,W 30-14,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,
62,1992,1992-11-29,12,27.123,PIT,@,CIN,W 21-9,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,
63,1992,1992-12-06,13,27.130,PIT,,SEA,W 20-14,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,
64,1992,1992-12-13,14,27.137,PIT,@,CHI,L 6-30,0,0,,0,,0,0,,0,0.0%,,1,0,0.00,0,0,0
65,1992,1992-12-20,15,27.144,PIT,,MIN,L 3-6,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,
66,1992,1992-12-27,16,27.151,PIT,,CLE,W 23-13,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,
67,1993,1993-09-05,1,28.038,IND,,MIA,L 20-24,,,,,,,,,,0.0%,,,,,,,
68,1993,1993-09-12,2,28.045,IND,@,CIN,W 9-6,,,,,,,,,,0.0%,,,,,,,
69,1993,1993-12-05,12,28.129,IND,@,NYJ,W 9-6,,,,,,,,,,0.0%,,,,,,,
70,1993,1993-12-12,13,28.136,IND,@,NYG,L 6-20,,,,,,,,,,0.0%,,,,,,,
71,1993,1993-12-19,14,28.143,IND,,PHI,L 10-20,,,,,,,,,,0.0%,,,,,,,
