ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2011,2011-09-11,1,22.238,PIT,@,BAL,L 7-35,,,,,,,0.0%,,,,,,
2,2011,2011-09-18,2,22.245,PIT,,SEA,W 24-0,,,,,,,0.0%,,,,,,
3,2011,2011-09-25,3,22.252,PIT,@,IND,W 23-20,,1,1,2,2.00,0,100.0%,2.00,0,0,0.0,0,0
4,2011,2011-10-02,4,22.259,PIT,@,HOU,L 10-17,,,,,,,0.0%,,,,,,
5,2011,2011-10-09,5,22.266,PIT,,TEN,W 38-17,,1,0,0,,0,0.0%,0.00,0,0,0.0,0,0
6,2011,2011-10-16,6,22.273,PIT,,JAX,W 17-13,*,,,,,,0.0%,,,,,,
7,2011,2011-10-23,7,22.280,PIT,@,ARI,W 32-20,*,1,0,0,,0,0.0%,0.00,0,0,0.0,0,0
8,2011,2011-10-30,8,22.287,PIT,,NWE,W 25-17,*,1,0,0,,0,0.0%,0.00,0,0,0.0,0,0
9,2011,2011-11-06,9,22.294,PIT,,BAL,L 20-23,,,,,,,0.0%,,,,,,
10,2011,2011-11-13,10,22.301,PIT,@,CIN,W 24-17,,2,1,11,11.00,0,50.0%,5.50,0,0,0.0,0,0
11,2011,2011-11-27,11,22.315,PIT,@,KAN,W 13-9,*,1,1,2,2.00,1,100.0%,2.00,1,6,0.0,1,0
12,2011,2011-12-04,12,22.322,PIT,,CIN,W 35-7,*,1,1,14,14.00,0,100.0%,14.00,0,0,0.0,0,0
13,2011,2011-12-08,13,22.326,PIT,,CLE,W 14-3,,,,,,,0.0%,,,,,,
14,2011,2011-12-19,14,22.337,PIT,@,SFO,L 3-20,,,,,,,0.0%,,,,,,
15,2011,2011-12-24,15,22.342,PIT,,STL,W 27-0,*,,,,,,0.0%,,,,,,
16,2011,2012-01-01,16,22.350,PIT,@,CLE,W 13-9,,0,,,,,0.0%,,,,,,
17,2012,2012-10-21,6,23.279,IND,,CLE,W 17-13,,,,,,,0.0%,,,,,,
18,2012,2012-10-28,7,23.286,IND,@,TEN,W 19-13,,1,1,11,11.00,0,100.0%,11.00,0,0,0.0,0,0
19,2012,2012-11-04,8,23.293,IND,,MIA,W 23-20,*,1,0,0,,0,0.0%,0.00,0,0,0.0,0,0
20,2012,2012-11-08,9,23.297,IND,@,JAX,W 27-10,*,,,,,,0.0%,,,,,,
21,2012,2012-11-18,10,23.307,IND,@,NWE,L 24-59,*,,,,,,0.0%,,,,,,
22,2012,2012-11-25,11,23.314,IND,,BUF,W 20-13,,2,1,4,4.00,0,50.0%,2.00,0,0,0.0,0,0
23,2012,2012-12-02,12,23.321,IND,@,DET,W 35-33,,,,,,,0.0%,,,,,,
24,2012,2012-12-09,13,23.328,IND,,TEN,W 27-23,*,,,,,,0.0%,,,,,,
25,2012,2012-12-16,14,23.335,IND,@,HOU,L 17-29,,,,,,,0.0%,,,,,,
26,2012,2012-12-23,15,23.342,IND,@,KAN,W 20-13,,,,,,,0.0%,,,,,,
27,2012,2012-12-30,16,23.349,IND,,HOU,W 28-16,,,,,,,0.0%,,,,,,
28,2013,2013-11-14,10,24.302,IND,@,TEN,W 30-27,,3,1,11,11.00,0,33.3%,3.67,0,0,0.0,0,0
29,2013,2013-11-24,11,24.312,IND,@,ARI,L 11-40,*,2,0,0,,0,0.0%,0.00,0,0,0.0,0,0
30,2013,2013-12-08,13,24.326,IND,@,CIN,L 28-42,,2,1,11,11.00,0,50.0%,5.50,0,0,0.0,0,0
31,2013,2013-12-15,14,24.333,IND,,HOU,W 25-3,,,0,0,,0,0.0%,,0,0,0.0,0,1
32,2013,2013-12-22,15,24.340,IND,@,KAN,W 23-7,,2,1,6,6.00,0,50.0%,3.00,0,0,0.0,0,0
33,2013,2013-12-29,16,24.347,IND,,JAX,W 30-10,,2,1,18,18.00,0,50.0%,9.00,0,0,0.0,0,0
34,2014,2014-11-23,11,25.311,IND,,JAX,W 23-3,,,,,,,0.0%,,,,,,
