ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring
1,2016,2016-09-11,1,22.066,NOR,,OAK,L 34-35,,0,0,,0,4,4,100.0,2,4,50.0,0,10
2,2016,2016-09-18,2,22.073,NOR,@,NYG,L 13-16,,0,0,,0,1,1,100.0,2,3,66.7,0,7
3,2016,2016-09-26,3,22.081,NOR,,ATL,L 32-45,,0,0,,0,3,3,100.0,1,1,100.0,0,6
4,2016,2016-10-02,4,22.087,NOR,@,SDG,W 35-34,,0,0,,0,5,5,100.0,,,,0,5
5,2016,2016-10-16,5,22.101,NOR,,CAR,W 41-38,,0,0,,0,5,5,100.0,2,3,66.7,0,11
6,2016,2016-10-23,6,22.108,NOR,@,KAN,L 21-27,,0,0,,0,3,3,100.0,,,,0,3
7,2016,2016-10-30,7,22.115,NOR,,SEA,W 25-20,,0,0,,0,1,1,100.0,4,4,100.0,0,13
8,2016,2016-11-06,8,22.122,NOR,@,SFO,W 41-23,,0,0,,0,5,5,100.0,2,3,66.7,0,11
9,2016,2016-11-13,9,22.129,NOR,,DEN,L 23-25,,0,0,,0,2,3,66.7,1,1,100.0,0,5
10,2016,2016-11-17,10,22.133,NOR,@,CAR,L 20-23,,0,0,,0,2,2,100.0,2,3,66.7,0,8
11,2016,2016-11-27,11,22.143,NOR,,LAR,W 49-21,,0,0,,0,7,7,100.0,,,,0,7
12,2016,2016-12-04,12,22.150,NOR,,DET,L 13-28,,0,0,,0,1,1,100.0,2,2,100.0,0,7
13,2016,2016-12-11,13,22.157,NOR,@,TAM,L 11-16,,0,0,,0,,,,3,3,100.0,0,9
14,2016,2016-12-18,14,22.164,NOR,@,ARI,W 48-41,,0,0,,0,6,6,100.0,2,2,100.0,0,12
15,2016,2016-12-24,15,22.170,NOR,,TAM,W 31-24,,0,0,,0,2,2,100.0,3,3,100.0,0,11
16,2016,2017-01-01,16,22.178,NOR,@,ATL,L 32-38,,0,0,,0,2,2,100.0,2,2,100.0,0,8
17,2017,2017-09-11,1,23.066,NOR,@,MIN,L 19-29,,0,0,,0,1,1,100.0,4,4,100.0,0,13
18,2017,2017-09-17,2,23.072,NOR,,NWE,L 20-36,,0,0,,0,2,2,100.0,2,3,66.7,0,8
19,2017,2017-09-24,3,23.079,NOR,@,CAR,W 34-13,,0,0,,0,4,4,100.0,2,3,66.7,0,10
20,2017,2017-10-01,4,23.086,NOR,@,MIA,W 20-0,,0,0,,0,2,2,100.0,2,3,66.7,0,8
21,2017,2017-10-15,5,23.100,NOR,,DET,W 52-38,,0,0,,0,7,7,100.0,1,1,100.0,0,10
22,2017,2017-10-22,6,23.107,NOR,@,GNB,W 26-17,,0,0,,0,2,3,66.7,2,2,100.0,0,8
23,2017,2017-10-29,7,23.114,NOR,,CHI,W 20-12,,0,0,,0,2,2,100.0,2,2,100.0,0,8
24,2017,2017-11-05,8,23.121,NOR,,TAM,W 30-10,,0,0,,0,3,4,75.0,1,2,50.0,0,6
25,2017,2017-11-12,9,23.128,NOR,@,BUF,W 47-10,,0,0,,0,5,6,83.3,2,2,100.0,0,11
26,2017,2017-11-19,10,23.135,NOR,,WAS,W 34-31,,0,0,,0,2,2,100.0,4,4,100.0,0,14
27,2017,2017-11-26,11,23.142,NOR,@,LAR,L 20-26,,0,0,,0,2,2,100.0,2,2,100.0,0,8
28,2017,2017-12-03,12,23.149,NOR,,CAR,W 31-21,,0,0,,0,4,4,100.0,1,2,50.0,0,7
29,2017,2017-12-07,13,23.153,NOR,@,ATL,L 17-20,,0,0,,0,2,2,100.0,1,1,100.0,0,5
30,2017,2017-12-17,14,23.163,NOR,,NYJ,W 31-19,,0,0,,0,4,4,100.0,1,1,100.0,0,7
31,2017,2017-12-24,15,23.170,NOR,,ATL,W 23-13,,0,0,,0,2,2,100.0,3,3,100.0,0,11
32,2017,2017-12-31,16,23.177,NOR,@,TAM,L 24-31,,1,4,4.00,0,3,3,100.0,1,1,100.0,0,6
33,2018,2018-09-09,1,24.064,NOR,,TAM,L 40-48,,0,0,,0,3,3,100.0,1,1,100.0,0,6
34,2018,2018-09-16,2,24.071,NOR,,CLE,W 21-18,,0,0,,0,1,1,100.0,2,3,66.7,0,7
35,2018,2018-09-23,3,24.078,NOR,@,ATL,W 43-37,,0,0,,0,4,4,100.0,3,3,100.0,0,13
