ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,def_int,def_int_yds,def_int_td
1,1960,1960-09-23,1,22.145,STL,@,RAM,W 43-21,0,0,,0,2,42,21.00,0,4,57,14.25,0,0,0,0
2,1960,1960-10-02,2,22.154,STL,,NYG,L 14-35,1,2,2.00,0,3,63,21.00,0,0,0,,0,0,0,0
3,1960,1960-10-09,3,22.161,STL,@,PHI,L 27-31,0,0,,0,1,12,12.00,0,2,1,0.50,0,0,0,0
4,1960,1960-10-16,4,22.168,STL,@,PIT,L 14-27,0,0,,0,3,147,49.00,0,0,0,,0,0,0,0
5,1960,1960-10-23,5,22.175,STL,,DAL,W 12-10,3,22,7.33,0,2,45,22.50,0,0,0,,0,0,0,0
6,1960,1960-10-30,6,22.182,STL,@,NYG,W 20-13,1,7,7.00,0,1,29,29.00,0,0,0,,0,0,0,0
7,1960,1960-11-06,7,22.189,STL,,WAS,W 44-7,1,13,13.00,0,1,32,32.00,0,0,0,,0,0,0,0
8,1960,1960-12-04,11,22.217,STL,,PHI,L 6-20,1,1,1.00,0,0,0,,0,0,0,,0,0,0,0
9,1961,1961-09-24,2,23.146,STL,@,CLE,L 17-20,0,0,,0,2,48,24.00,0,1,16,16.00,0,1,14,0
10,1961,1961-10-01,3,23.153,STL,@,PHI,W 30-27,0,0,,0,2,34,17.00,0,1,4,4.00,0,0,0,0
11,1961,1961-10-08,4,23.160,STL,,NYG,L 9-24,0,0,,0,0,0,,0,2,16,8.00,0,0,0,0
12,1961,1961-10-15,5,23.167,STL,,PHI,L 7-20,0,0,,0,1,31,31.00,0,0,0,,0,0,0,0
13,1961,1961-10-22,6,23.174,STL,@,WAS,W 24-0,0,0,,0,0,0,,0,2,9,4.50,0,0,0,0
14,1961,1961-10-29,7,23.181,STL,,CLE,L 10-21,0,0,,0,2,52,26.00,0,0,0,,0,0,0,0
15,1961,1961-11-12,9,23.195,STL,,DET,L 14-45,0,0,,0,5,96,19.20,0,3,31,10.33,0,0,0,0
16,1961,1961-11-19,10,23.202,STL,@,BAL,L 0-16,0,0,,0,1,29,29.00,0,0,0,,0,0,0,0
17,1961,1961-11-26,11,23.209,STL,@,PIT,L 27-30,0,0,,0,3,50,16.67,0,0,0,,0,0,0,0
18,1961,1961-12-03,12,23.216,STL,,WAS,W 38-24,0,0,,0,0,0,,0,1,3,3.00,0,0,0,0
19,1961,1961-12-17,14,23.230,STL,,PIT,W 20-0,0,0,,0,0,0,,0,1,19,19.00,0,0,0,0
20,1962,1962-09-22,3,24.144,BUF,,NYT,L 6-17,0,0,,0,0,0,,0,4,16,4.00,0,0,0,0
21,1962,1962-09-30,4,24.152,BUF,@,DTX,L 21-41,0,0,,0,0,0,,0,1,8,8.00,0,0,0,0
22,1962,1962-10-07,5,24.159,BUF,@,HOU,L 14-17,0,0,,0,0,0,,0,2,12,6.00,0,0,0,0
23,1962,1962-10-13,6,24.165,BUF,,SDG,W 35-10,0,0,,0,0,0,,0,0,0,,0,1,0,0
24,1962,1962-11-18,11,24.201,BUF,@,OAK,W 10-6,0,0,,0,0,0,,0,5,33,6.60,0,0,0,0
25,1962,1962-11-23,12,24.206,BUF,@,BOS,L 10-21,0,0,,0,0,0,,0,1,3,3.00,0,0,0,0
26,1962,1962-12-02,13,24.215,BUF,,DTX,W 23-14,0,0,,0,0,0,,0,1,7,7.00,0,2,24,0
27,1962,1962-12-08,14,24.221,BUF,@,NYT,W 20-3,0,0,,0,0,0,,0,1,45,45.00,0,0,0,0
